Company Name,Asset Type,Percentage Allocation,Fund Type
Atul Ltd.,Equity,0.44%,ETFs - Others
Piramal Enterprises Ltd.,Equity,0.43%,ETFs - Others
Biocon Ltd.,Equity,0.43%,ETFs - Others
Emami Ltd.,Equity,0.43%,ETFs - Others
Grindwell Norton Ltd.,Equity,0.42%,ETFs - Others
Kajaria Ceramics Ltd.,Equity,0.41%,ETFs - Others
SKF India Ltd.,Equity,0.41%,ETFs - Others
Bata India Ltd.,Equity,0.41%,ETFs - Others
3M India Ltd.,Equity,0.40%,ETFs - Others
CRISIL Ltd.,Equity,0.40%,ETFs - Others
Motherson Sumi Wiring India Ltd.,Equity,0.40%,ETFs - Others
Rail Vikas Nigam Ltd.,Equity,0.39%,ETFs - Others
Timken India Ltd.,Equity,0.39%,ETFs - Others
Escorts Kubota Ltd.,Equity,0.38%,ETFs - Others
Oracle Financial Services Software Ltd.,Equity,0.38%,ETFs - Others
Dr Lal PathLabs Ltd.,Equity,0.36%,ETFs - Others
Ajanta Pharma Ltd.,Equity,0.35%,ETFs - Others
Honeywell Automation India Ltd.,Equity,0.31%,ETFs - Others
Hindustan Zinc Ltd.,Equity,0.31%,ETFs - Others
Gujarat Gas Ltd.,Equity,0.31%,ETFs - Others
Mankind Pharma Ltd.,Equity,0.31%,ETFs - Others
Bharat Dynamics Ltd.,Equity,0.30%,ETFs - Others
Glaxo Smithkline Pharmaceuticals Ltd.,Equity,0.30%,ETFs - Others
Vedant Fashions Pvt. Ltd.,Equity,0.30%,ETFs - Others
ZF Commercial Vehicle Control Systems India Ltd.,Equity,0.29%,ETFs - Others
General Insurance Corporation of India Ltd.,Equity,0.29%,ETFs - Others
Devyani International Ltd.,Equity,0.29%,ETFs - Others
Aditya Birla Fashion & Retail Ltd.,Equity,0.29%,ETFs - Others
K P R Mill Ltd.,Equity,0.28%,ETFs - Others
STAR HEALTH & ALLIED INSURANCE COMPANY Ltd.,Equity,0.28%,ETFs - Others
Bayer Cropscience Ltd.,Equity,0.27%,ETFs - Others
Mazagon Dock Shipbuilders Ltd.,Equity,0.27%,ETFs - Others
Endurance Technologies Ltd.,Equity,0.26%,ETFs - Others
Kansai Nerolac Paints Ltd.,Equity,0.26%,ETFs - Others
Relaxo Footwears Ltd.,Equity,0.25%,ETFs - Others
Pfizer Ltd.,Equity,0.25%,ETFs - Others
Sun T V Network Ltd.,Equity,0.23%,ETFs - Others
ICICI Securities Ltd.,Equity,0.22%,ETFs - Others
Fertilizers & Chemicals Travancore Ltd.,Equity,0.20%,ETFs - Others
The New India Assurance Company Ltd.,Equity,0.20%,ETFs - Others
Sumitomo Chemical India Ltd.,Equity,0.19%,ETFs - Others
Rajesh Exports Ltd.,Equity,0.19%,ETFs - Others
Godrej Industries Ltd.,Equity,0.18%,ETFs - Others
Vinati Organics Ltd.,Equity,0.17%,ETFs - Others
Bank Of Maharashtra,Equity,0.17%,ETFs - Others
Trident Ltd.,Equity,0.17%,ETFs - Others
Blue Dart Express Ltd.,Equity,0.17%,ETFs - Others
Whirlpool of India Ltd.,Equity,0.17%,ETFs - Others
Metro Brands Ltd.,Equity,0.15%,ETFs - Others
Triparty Repo,Others,0.13%,ETFs - Others
Cash Margin,Debt,0.00%,ETFs - Others
Current Assets,Others,-0.05%,ETFs - Others
Trent Ltd.,Equity,4.19%,ETFs - Others
Bharat Electronics Ltd.,Equity,4.10%,ETFs - Others
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,3.55%,ETFs - Others
Tata Power Company Ltd.,Equity,3.50%,ETFs - Others
Hindustan Aeronautics Ltd.,Equity,3.27%,ETFs - Others
Cholamandalam Investment & Finance Company Ltd.,Equity,3.16%,ETFs - Others
Indian Oil Corporation Ltd.,Equity,2.96%,ETFs - Others
TVS Motor Company Ltd.,Equity,2.93%,ETFs - Others
DLF Ltd.,Equity,2.91%,ETFs - Others
GAIL (India) Ltd.,Equity,2.72%,ETFs - Others
Bank Of Baroda,Equity,2.68%,ETFs - Others
Godrej Consumer Products Ltd.,Equity,2.66%,ETFs - Others
Interglobe Aviation Ltd.,Equity,2.63%,ETFs - Others
Pidilite Industries Ltd.,Equity,2.58%,ETFs - Others
Info Edge (India) Ltd.,Equity,2.48%,ETFs - Others
Ambuja Cements Ltd.,Equity,2.38%,ETFs - Others
Shree Cement Ltd.,Equity,2.38%,ETFs - Others
ICICI Lombard General Insurance Company Ltd.,Equity,2.26%,ETFs - Others
SRF Ltd.,Equity,2.24%,ETFs - Others
Siemens Ltd.,Equity,2.23%,ETFs - Others
Vedanta Ltd.,Equity,2.15%,ETFs - Others
Havells India Ltd.,Equity,2.13%,ETFs - Others
Colgate-Palmolive Ltd.,Equity,2.10%,ETFs - Others
Dabur India Ltd.,Equity,2.03%,ETFs - Others
United Spirits Ltd.,Equity,2.02%,ETFs - Others
Canara Bank,Equity,1.83%,ETFs - Others
Punjab National Bank,Equity,1.77%,ETFs - Others
Marico Ltd.,Equity,1.77%,ETFs - Others
PI Industries Ltd.,Equity,1.76%,ETFs - Others
Jindal Steel & Power Ltd.,Equity,1.71%,ETFs - Others
Zomato Ltd.,Equity,1.70%,ETFs - Others
Indian Railway Catering & Tourism Corporation Ltd.,Equity,1.68%,ETFs - Others
Avenue Supermarts Ltd.,Equity,1.58%,ETFs - Others
ABB India Ltd.,Equity,1.54%,ETFs - Others
Varun Beverages Ltd.,Equity,1.54%,ETFs - Others
Adani Green Energy Ltd.,Equity,1.50%,ETFs - Others
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,1.50%,ETFs - Others
SBI Cards & Payment Services Pvt. Ltd.,Equity,1.39%,ETFs - Others
Torrent Pharmaceuticals Ltd.,Equity,1.31%,ETFs - Others
ICICI Prudential Life Insurance Company Ltd.,Equity,1.29%,ETFs - Others
Bosch Ltd.,Equity,1.18%,ETFs - Others
Zydus Lifesciences Ltd.,Equity,1.08%,ETFs - Others
Berger Paints India Ltd.,Equity,1.05%,ETFs - Others
Muthoot Finance Ltd.,Equity,1.00%,ETFs - Others
Bajaj Holdings & Investment Ltd.,Equity,0.86%,ETFs - Others
Adani Transmission Ltd.,Equity,0.81%,ETFs - Others
Adani Total Gas Ltd. (Erstwhile Adani Gas Ltd.),Equity,0.70%,ETFs - Others
Life Insurance Corporation of India,Equity,0.54%,ETFs - Others
Procter & Gamble Hygiene & Healthcare Ltd.,Equity,0.42%,ETFs - Others
Adani Wilmar Ltd.,Equity,0.14%,ETFs - Others
Triparty Repo,Others,0.10%,ETFs - Others
Current Assets,Others,0.01%,ETFs - Others
Cash Margin,Debt,0.00%,ETFs - Others
State Bank Of India,Equity,31.95%,ETFs - Others
Bank Of Baroda,Equity,17.53%,ETFs - Others
Punjab National Bank,Equity,12.03%,ETFs - Others
Canara Bank,Equity,11.96%,ETFs - Others
Union Bank Of India,Equity,8.58%,ETFs - Others
Indian Bank,Equity,6.23%,ETFs - Others
Bank Of India,Equity,5.85%,ETFs - Others
Bank Of Maharashtra,Equity,1.89%,ETFs - Others
Indian Overseas Bank,Equity,1.38%,ETFs - Others
Central Bank Of India,Equity,1.29%,ETFs - Others
Uco Bank,Equity,1.00%,ETFs - Others
Triparty Repo,Others,0.61%,ETFs - Others
Punjab & Sind Bank,Equity,0.25%,ETFs - Others
Cash Margin,Debt,0.01%,ETFs - Others
Current Assets,Others,-0.56%,ETFs - Others
8.83 Uttar Pradesh SDL Feb 24 2026,Debt,3.39%,ETFs - Others
8.3 Rajasthan SDL Jan 13 2026,Debt,3.35%,ETFs - Others
8.29 Andhra Pradesh SDL Jan 13 2026,Debt,3.00%,ETFs - Others
8.38 Haryana SDL  Jan 27 2026,Debt,2.93%,ETFs - Others
8.27 Gujarat SDL Jan 13 2026,Debt,2.91%,ETFs - Others
8.88 West Bengal SDL Feb 24 2026,Debt,2.81%,ETFs - Others
8.04 Chhattisgarh SDL Mar 20 2026,Debt,2.74%,ETFs - Others
8.36 Maharashtra SDL  Jan 27 2026,Debt,2.73%,ETFs - Others
Current Assets,Others,2.57%,ETFs - Others
8.16 Karnataka Sdl Nov 26 2025,Debt,2.45%,ETFs - Others
8.51 Haryana SDL  Feb 10 2026,Debt,2.38%,ETFs - Others
8.69 Kerala SDL  Feb 24 2026,Debt,2.36%,ETFs - Others
8.53 Tamil Nadu SDL Mar  9 2026,Debt,2.09%,ETFs - Others
8.3 Madhya Pradesh SDL Jan 13 2026,Debt,1.98%,ETFs - Others
8.24 Tamil Nadu SDL Sep  9 2025,Debt,1.94%,ETFs - Others
8.53 Uttar Pradesh SDL Feb 10 2026,Debt,1.90%,ETFs - Others
8.28 Karnataka Sdl Mar  6 2026,Debt,1.81%,ETFs - Others
8.48 Rajasthan SDL Feb 10 2026,Debt,1.79%,ETFs - Others
8.31 Telangana SDL Jan 13 2026,Debt,1.73%,ETFs - Others
7.99 Kerala SDL  Oct 28 2025,Debt,1.71%,ETFs - Others
8.46 Gujarat SDL Feb 10 2026,Debt,1.60%,ETFs - Others
8 Tamil Nadu SDL Oct 28 2025,Debt,1.52%,ETFs - Others
8.42 Kerala SDL  Jan 27 2026,Debt,1.50%,ETFs - Others
8.12 Maharashtra SDL  Nov 13 2025,Debt,1.35%,ETFs - Others
8.14 Karnataka Sdl Nov 13 2025,Debt,1.33%,ETFs - Others
8.52 Telangana SDL Feb 10 2026,Debt,1.28%,ETFs - Others
8.31 West Bengal SDL Jan 13 2026,Debt,1.26%,ETFs - Others
8.6 Bihar SDL Mar  9 2026,Debt,1.22%,ETFs - Others
8.27 Karnataka Sdl Jan 13 2026,Debt,1.20%,ETFs - Others
8.58 Uttar Pradesh SDL Mar  9 2026,Debt,1.20%,ETFs - Others
8.39 Andhra Pradesh SDL Jan 27 2026,Debt,1.18%,ETFs - Others
8.82 Bihar SDL Feb 24 2026,Debt,1.18%,ETFs - Others
8.49 Kerala SDL  Feb 10 2026,Debt,1.11%,ETFs - Others
8.26 Maharashtra SDL  Dec 23 2025,Debt,1.11%,ETFs - Others
8.38 Karnataka Sdl Jan 27 2026,Debt,1.04%,ETFs - Others
8.15 Gujarat SDL Sep 23 2025,Debt,1.00%,ETFs - Others
8.39 Madhya Pradesh SDL Jan 27 2026,Debt,0.95%,ETFs - Others
8.4 West Bengal SDL Jan 27 2026,Debt,0.95%,ETFs - Others
8.16 Rajasthan SDL Nov 26 2025,Debt,0.90%,ETFs - Others
8.15 Haryana SDL  Nov 13 2025,Debt,0.90%,ETFs - Others
8.76 Madhya Pradesh SDL Feb 24 2026,Debt,0.84%,ETFs - Others
8.67 Karnataka Sdl Feb 24 2026,Debt,0.80%,ETFs - Others
8.57 West Bengal SDL Mar  9 2026,Debt,0.79%,ETFs - Others
8.21 Maharashtra SDL  Dec  9 2025,Debt,0.78%,ETFs - Others
8.51 West Bengal SDL Feb 10 2026,Debt,0.78%,ETFs - Others
8.15 Tamil Nadu SDL Nov 13 2025,Debt,0.77%,ETFs - Others
7.96 Gujarat SDL Oct 14 2025,Debt,0.76%,ETFs - Others
8.27 Karnataka Sdl Dec 23 2025,Debt,0.72%,ETFs - Others
8.27 Tamil Nadu SDL Jan 13 2026,Debt,0.69%,ETFs - Others
8.23 Gujarat SDL Sep  9 2025,Debt,0.69%,ETFs - Others
8.29 Haryana SDL  Jul 29 2025,Debt,0.69%,ETFs - Others
8.21 West Bengal SDL Jun 24 2025,Debt,0.69%,ETFs - Others
8.49 Tamil Nadu SDL Feb 10 2026,Debt,0.64%,ETFs - Others
8.67 Maharashtra SDL  Feb 24 2026,Debt,0.63%,ETFs - Others
8.72 Andhra Pradesh SDL Feb 24 2026,Debt,0.63%,ETFs - Others
8.47 Maharashtra SDL  Feb 10 2026,Debt,0.62%,ETFs - Others
8.15 Madhya Pradesh SDL Nov 13 2025,Debt,0.58%,ETFs - Others
8.25 Maharashtra SDL  Jan 13 2026,Debt,0.58%,ETFs - Others
8.42 Jharkhand SDL Jan 27 2026,Debt,0.57%,ETFs - Others
8.34 Uttar Pradesh SDL Jan 13 2026,Debt,0.57%,ETFs - Others
8.57 Andhra Pradesh SDL Mar  9 2026,Debt,0.56%,ETFs - Others
8.54 Bihar SDL Feb 10 2026,Debt,0.56%,ETFs - Others
8.2 Rajasthan SDL Jun 24 2025,Debt,0.55%,ETFs - Others
5.82 Bihar SDL Jan 20 2026,Debt,0.53%,ETFs - Others
8.51 Maharashtra SDL  Mar  9 2026,Debt,0.51%,ETFs - Others
8.82 Jharkhand SDL Feb 24 2026,Debt,0.49%,ETFs - Others
8.27 Haryana SDL  Dec  9 2025,Debt,0.48%,ETFs - Others
7.98 Andhra Pradesh SDL Oct 14 2025,Debt,0.48%,ETFs - Others
7.97 Tamil Nadu SDL Oct 14 2025,Debt,0.44%,ETFs - Others
8.38 Tamil Nadu SDL Jan 27 2026,Debt,0.42%,ETFs - Others
8.15 Maharashtra SDL  Nov 26 2025,Debt,0.42%,ETFs - Others
8.17 Kerala SDL  Nov 26 2025,Debt,0.41%,ETFs - Others
7.96 Maharashtra SDL  Oct 14 2025,Debt,0.41%,ETFs - Others
8.22 Karnataka Sdl Dec  9 2025,Debt,0.37%,ETFs - Others
8.32 Chhattisgarh SDL Jan 13 2026,Debt,0.35%,ETFs - Others
8.01 Tamil Nadu SDL Apr 20 2026,Debt,0.35%,ETFs - Others
8.14 Rajasthan SDL Nov 13 2025,Debt,0.35%,ETFs - Others
8.27 Uttar Pradesh SDL May 13 2025,Debt,0.35%,ETFs - Others
7.99 Maharashtra SDL  Oct 28 2025,Debt,0.34%,ETFs - Others
7.97 West Bengal SDL Oct 14 2025,Debt,0.34%,ETFs - Others
8.18 Andhra Pradesh SDL May 27 2025,Debt,0.30%,ETFs - Others
8.69 Tamil Nadu SDL Feb 24 2026,Debt,0.29%,ETFs - Others
8.23 Maharashtra SDL  Sep  9 2025,Debt,0.28%,ETFs - Others
7.47 Gujarat SDL Oct 27 2025,Debt,0.27%,ETFs - Others
Triparty Repo,Others,0.27%,ETFs - Others
8.55 Rajasthan SDL Mar  9 2026,Debt,0.24%,ETFs - Others
8.65 Rajasthan SDL Feb 24 2026,Debt,0.21%,ETFs - Others
8.38 Rajasthan SDL Jan 27 2026,Debt,0.21%,ETFs - Others
8.2 Gujarat SDL Dec  9 2025,Debt,0.21%,ETFs - Others
8.29 Gujarat SDL Aug 26 2025,Debt,0.21%,ETFs - Others
8.24 Andhra Pradesh SDL Dec  9 2025,Debt,0.20%,ETFs - Others
8.16 Kerala SDL  Nov 13 2025,Debt,0.17%,ETFs - Others
8.15 West Bengal SDL Nov 13 2025,Debt,0.15%,ETFs - Others
8.32 Maharashtra SDL  Jul 15 2025,Debt,0.14%,ETFs - Others
8.4 Goa SDL Jan 27 2026,Debt,0.14%,ETFs - Others
8.15 Uttar Pradesh SDL Nov 13 2025,Debt,0.14%,ETFs - Others
8.23 Haryana SDL  Sep  9 2025,Debt,0.14%,ETFs - Others
8.17 West Bengal SDL Sep 23 2025,Debt,0.14%,ETFs - Others
7.99 Karnataka Sdl Oct 28 2025,Debt,0.14%,ETFs - Others
8.29 Maharashtra SDL  Aug 26 2025,Debt,0.11%,ETFs - Others
8.27 Haryana SDL  Dec 23 2025,Debt,0.10%,ETFs - Others
8.16 Maharashtra SDL  Sep 23 2025,Debt,0.08%,ETFs - Others
8.23 Uttar Pradesh SDL Dec  9 2025,Debt,0.07%,ETFs - Others
8.28 Maharashtra SDL  Jul 29 2025,Debt,0.07%,ETFs - Others
8.27 Tamil Nadu SDL Aug 12 2025,Debt,0.07%,ETFs - Others
8.23 Uttar Pradesh SDL Sep  9 2025,Debt,0.07%,ETFs - Others
8.02 Uttar Pradesh SDL Apr 20 2026,Debt,0.07%,ETFs - Others
8.34 Punjab SDL Jul 15 2025,Debt,0.07%,ETFs - Others
7.98 Punjab SDL Apr 20 2026,Debt,0.07%,ETFs - Others
7.96 Punjab SDL Apr 27 2026,Debt,0.07%,ETFs - Others
5.9 Telangana SDL May 27 2025,Debt,0.07%,ETFs - Others
8.29 Tamil Nadu SDL Aug 26 2025,Debt,0.06%,ETFs - Others
Treasury Bill (364D),Others,0.06%,ETFs - Others
8.19 Chhattisgarh SDL Nov 26 2025,Debt,0.05%,ETFs - Others
8.53 Chhattisgarh SDL Mar  9 2026,Debt,0.03%,ETFs - Others
8.25 Maharashtra SDL  May 13 2025,Debt,0.03%,ETFs - Others
8.38 Orissa SDL Jan 27 2026,Debt,0.02%,ETFs - Others
8.09 Rajasthan SDL Mar 23 2026,Debt,0.02%,ETFs - Others
8.29 Kerala SDL  Jul 29 2025,Debt,0.01%,ETFs - Others
8.16 Haryana SDL  Sep 23 2025,Debt,0.01%,ETFs - Others
8.29 Tamil Nadu SDL Jul 29 2025,Debt,0.01%,ETFs - Others
8.18 West Bengal SDL Nov 26 2025,Debt,0.01%,ETFs - Others
8.25 Madhya Pradesh SDL Sep  9 2025,Debt,0.01%,ETFs - Others
8.09 Andhra Pradesh SDL Mar 23 2026,Debt,0.00%,ETFs - Others
Cash Margin,Debt,0.00%,ETFs - Others
Trent Ltd.,Equity,3.52%,ETFs - Others
Zomato Ltd.,Equity,3.49%,ETFs - Others
Avenue Supermarts Ltd.,Equity,3.14%,ETFs - Others
Varun Beverages Ltd.,Equity,2.97%,ETFs - Others
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,2.93%,ETFs - Others
Tata Power Company Ltd.,Equity,2.89%,ETFs - Others
Power Finance Corporation Ltd.,Equity,2.86%,ETFs - Others
Hindustan Aeronautics Ltd.,Equity,2.70%,ETFs - Others
Cholamandalam Investment & Finance Company Ltd.,Equity,2.61%,ETFs - Others
Max Healthcare Institute Ltd.,Equity,2.61%,ETFs - Others
Indian Oil Corporation Ltd.,Equity,2.55%,ETFs - Others
TVS Motor Company Ltd.,Equity,2.47%,ETFs - Others
DLF Ltd.,Equity,2.31%,ETFs - Others
GAIL (India) Ltd.,Equity,2.25%,ETFs - Others
Bank Of Baroda,Equity,2.21%,ETFs - Others
Godrej Consumer Products Ltd.,Equity,2.20%,ETFs - Others
Pidilite Industries Ltd.,Equity,2.13%,ETFs - Others
The Indian Hotels Company Ltd.,Equity,1.99%,ETFs - Others
Ambuja Cements Ltd.,Equity,1.97%,ETFs - Others
The Federal Bank Ltd.,Equity,1.95%,ETFs - Others
Info Edge (India) Ltd.,Equity,1.95%,ETFs - Others
Au Small Finance Bank Ltd.,Equity,1.95%,ETFs - Others
Yes Bank Ltd.,Equity,1.94%,ETFs - Others
Persistent Systems Ltd.,Equity,1.93%,ETFs - Others
Tube Investments Of India Ltd.,Equity,1.90%,ETFs - Others
Interglobe Aviation Ltd.,Equity,1.88%,ETFs - Others
SRF Ltd.,Equity,1.85%,ETFs - Others
Siemens Ltd.,Equity,1.84%,ETFs - Others
Havells India Ltd.,Equity,1.76%,ETFs - Others
Colgate-Palmolive Ltd.,Equity,1.73%,ETFs - Others
ICICI Lombard General Insurance Company Ltd.,Equity,1.72%,ETFs - Others
Bajaj Holdings & Investment Ltd.,Equity,1.71%,ETFs - Others
United Spirits Ltd.,Equity,1.71%,ETFs - Others
Dabur India Ltd.,Equity,1.68%,ETFs - Others
Lupin Ltd.,Equity,1.64%,ETFs - Others
Bharat Forge Ltd.,Equity,1.63%,ETFs - Others
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Equity,1.61%,ETFs - Others
Vedanta Ltd.,Equity,1.58%,ETFs - Others
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,1.54%,ETFs - Others
APL Apollo Tubes Ltd.,Equity,1.51%,ETFs - Others
Marico Ltd.,Equity,1.46%,ETFs - Others
PI Industries Ltd.,Equity,1.45%,ETFs - Others
Shree Cement Ltd.,Equity,1.43%,ETFs - Others
Indian Railway Catering & Tourism Corporation Ltd.,Equity,1.39%,ETFs - Others
Zee Entertainment Enterprises Ltd.,Equity,1.36%,ETFs - Others
Ashok Leyland Ltd.,Equity,1.34%,ETFs - Others
Page Industries Ltd.,Equity,1.18%,ETFs - Others
SBI Cards & Payment Services Pvt. Ltd.,Equity,1.15%,ETFs - Others
Jubilant Foodworks Ltd.,Equity,1.11%,ETFs - Others
ICICI Prudential Life Insurance Company Ltd.,Equity,1.07%,ETFs - Others
Triparty Repo,Others,0.22%,ETFs - Others
Current Assets,Others,-0.01%,ETFs - Others
HDFC Bank Ltd.,Equity,15.72%,ETFs - Others
Reliance Industries Ltd.,Equity,10.81%,ETFs - Others
ICICI Bank Ltd.,Equity,8.46%,ETFs - Others
Infosys Ltd.,Equity,6.67%,ETFs - Others
Larsen & Toubro Ltd.,Equity,5.17%,ETFs - Others
ITC Ltd.,Equity,4.96%,ETFs - Others
Tata Consultancy Services Ltd.,Equity,4.71%,ETFs - Others
Axis Bank Ltd.,Equity,3.79%,ETFs - Others
Kotak Mahindra Bank Ltd.,Equity,3.31%,ETFs - Others
Bharti Airtel Ltd.,Equity,3.17%,ETFs - Others
State Bank Of India,Equity,2.99%,ETFs - Others
Hindustan Unilever Ltd.,Equity,2.88%,ETFs - Others
Bajaj Finance Ltd.,Equity,2.47%,ETFs - Others
Mahindra & Mahindra Ltd.,Equity,2.00%,ETFs - Others
HCL Technologies Ltd.,Equity,1.88%,ETFs - Others
Titan Company Ltd.,Equity,1.86%,ETFs - Others
Asian Paints Ltd.,Equity,1.86%,ETFs - Others
National Thermal Power Corporation Ltd.,Equity,1.79%,ETFs - Others
Tata Motors Ltd.,Equity,1.70%,ETFs - Others
Maruti Suzuki India Ltd.,Equity,1.66%,ETFs - Others
Sun Pharmaceuticals Ind Ltd.,Equity,1.65%,ETFs - Others
Ultratech Cement Ltd.,Equity,1.48%,ETFs - Others
Tata Steel Ltd.,Equity,1.36%,ETFs - Others
Power Grid Corporation Of India Ltd.,Equity,1.31%,ETFs - Others
Indusind Bank Ltd.,Equity,1.27%,ETFs - Others
Nestle India Ltd.,Equity,1.14%,ETFs - Others
Bajaj Finserv Ltd.,Equity,1.11%,ETFs - Others
JSW Steel Ltd.,Equity,1.02%,ETFs - Others
Tech Mahindra Ltd.,Equity,0.96%,ETFs - Others
Triparty Repo,Others,0.90%,ETFs - Others
Wipro Ltd.,Equity,0.81%,ETFs - Others
Cash Margin,Debt,0.01%,ETFs - Others
Current Assets,Others,-0.88%,ETFs - Others
Mahindra & Mahindra Ltd.,Equity,17.70%,ETFs - Others
Tata Motors Ltd.,Equity,15.70%,ETFs - Others
Maruti Suzuki India Ltd.,Equity,15.55%,ETFs - Others
Bajaj Auto Ltd.,Equity,8.80%,ETFs - Others
Eicher Motors Ltd.,Equity,6.48%,ETFs - Others
Hero Motocorp Ltd.,Equity,6.15%,ETFs - Others
TVS Motor Company Ltd.,Equity,5.39%,ETFs - Others
Tube Investments Of India Ltd.,Equity,4.23%,ETFs - Others
Bharat Forge Ltd.,Equity,3.63%,ETFs - Others
MRF Ltd.,Equity,3.03%,ETFs - Others
Sona Blw Precision Forgings Ltd.,Equity,3.02%,ETFs - Others
Ashok Leyland Ltd.,Equity,2.99%,ETFs - Others
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,2.76%,ETFs - Others
Balkrishna Industries Ltd.,Equity,2.33%,ETFs - Others
Bosch Ltd.,Equity,2.17%,ETFs - Others
Triparty Repo,Others,0.16%,ETFs - Others
Cash Margin,Debt,0.00%,ETFs - Others
Current Assets,Others,-0.08%,ETFs - Others
Sun Pharmaceuticals Ind Ltd.,Equity,24.09%,ETFs - Others
Dr Reddys Laboratories Ltd.,Equity,12.51%,ETFs - Others
Cipla Ltd.,Equity,11.59%,ETFs - Others
Divi Laboratories Ltd.,Equity,8.81%,ETFs - Others
Lupin Ltd.,Equity,5.66%,ETFs - Others
Aurobindo Pharma Ltd.,Equity,5.40%,ETFs - Others
Alkem Laboratories Ltd.,Equity,4.63%,ETFs - Others
Torrent Pharmaceuticals Ltd.,Equity,3.73%,ETFs - Others
Zydus Lifesciences Ltd.,Equity,3.09%,ETFs - Others
Laurus Labs Ltd.,Equity,3.00%,ETFs - Others
IPCA Laboratories Ltd.,Equity,2.65%,ETFs - Others
Gland Pharma Ltd.,Equity,2.36%,ETFs - Others
Glenmark Pharmaceuticals Ltd.,Equity,2.26%,ETFs - Others
Abbott India Ltd.,Equity,2.15%,ETFs - Others
Biocon Ltd.,Equity,1.96%,ETFs - Others
Glaxo Smithkline Pharmaceuticals Ltd.,Equity,1.37%,ETFs - Others
Natco Pharma Ltd.,Equity,1.31%,ETFs - Others
Sanofi India Ltd.,Equity,1.28%,ETFs - Others
Pfizer Ltd.,Equity,1.14%,ETFs - Others
Granules India Ltd.,Equity,0.98%,ETFs - Others
Triparty Repo,Others,0.06%,ETFs - Others
Cash Margin,Debt,0.00%,ETFs - Others
Current Assets,Others,-0.04%,ETFs - Others
HDFC Bank Ltd.,Equity,13.52%,ETFs - Others
Reliance Industries Ltd.,Equity,9.21%,ETFs - Others
ICICI Bank Ltd.,Equity,7.36%,ETFs - Others
Infosys Ltd.,Equity,5.80%,ETFs - Others
Larsen & Toubro Ltd.,Equity,4.39%,ETFs - Others
ITC Ltd.,Equity,4.31%,ETFs - Others
Tata Consultancy Services Ltd.,Equity,4.05%,ETFs - Others
Axis Bank Ltd.,Equity,3.22%,ETFs - Others
Kotak Mahindra Bank Ltd.,Equity,2.95%,ETFs - Others
Bharti Airtel Ltd.,Equity,2.75%,ETFs - Others
State Bank Of India,Equity,2.59%,ETFs - Others
Hindustan Unilever Ltd.,Equity,2.50%,ETFs - Others
Bajaj Finance Ltd.,Equity,2.15%,ETFs - Others
HCL Technologies Ltd.,Equity,1.63%,ETFs - Others
Mahindra & Mahindra Ltd.,Equity,1.63%,ETFs - Others
Titan Company Ltd.,Equity,1.61%,ETFs - Others
Asian Paints Ltd.,Equity,1.61%,ETFs - Others
National Thermal Power Corporation Ltd.,Equity,1.56%,ETFs - Others
Tata Motors Ltd.,Equity,1.45%,ETFs - Others
Maruti Suzuki India Ltd.,Equity,1.43%,ETFs - Others
Sun Pharmaceuticals Ind Ltd.,Equity,1.43%,ETFs - Others
Ultratech Cement Ltd.,Equity,1.28%,ETFs - Others
Tata Steel Ltd.,Equity,1.19%,ETFs - Others
Power Grid Corporation Of India Ltd.,Equity,1.14%,ETFs - Others
Indusind Bank Ltd.,Equity,1.11%,ETFs - Others
Nestle India Ltd.,Equity,1.00%,ETFs - Others
Bajaj Finserv Ltd.,Equity,0.96%,ETFs - Others
Hindalco Industries Ltd.,Equity,0.95%,ETFs - Others
Coal India Ltd.,Equity,0.90%,ETFs - Others
JSW Steel Ltd.,Equity,0.88%,ETFs - Others
Oil & Natural Gas Corporation Ltd.,Equity,0.84%,ETFs - Others
Tech Mahindra Ltd.,Equity,0.84%,ETFs - Others
Grasim Industries Ltd.,Equity,0.82%,ETFs - Others
Bajaj Auto Ltd.,Equity,0.81%,ETFs - Others
Adani Ports and Special Economic Zone Ltd.,Equity,0.79%,ETFs - Others
Adani Enterprises Ltd.,Equity,0.79%,ETFs - Others
Dr Reddys Laboratories Ltd.,Equity,0.74%,ETFs - Others
HDFC Life Insurance Company Ltd.,Equity,0.72%,ETFs - Others
Wipro Ltd.,Equity,0.70%,ETFs - Others
Tata Consumer Products Ltd.,Equity,0.69%,ETFs - Others
Cipla Ltd.,Equity,0.69%,ETFs - Others
SBI Life Insurance Company Ltd.,Equity,0.68%,ETFs - Others
Britannia Industries Ltd.,Equity,0.66%,ETFs - Others
Ltimindtree Ltd.,Equity,0.61%,ETFs - Others
Apollo Hospitals Enterprise Ltd.,Equity,0.60%,ETFs - Others
Eicher Motors Ltd.,Equity,0.59%,ETFs - Others
Hero Motocorp Ltd.,Equity,0.56%,ETFs - Others
