Company Name,Asset Type,Percentage Allocation,Portfolio Date,Scheme Name,Fund Type
Esab India Ltd.,Equity,0.02%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Prism Johnson Ltd.,Equity,0.02%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Shoppers Stop Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Jamna Auto Industries Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Campus Activewear Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Kama Holdings Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
G R Infraprojects Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Rashtriya Chemical & Fertilizer Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
V-Mart Retail Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Borosil Renewables Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Vaibhav Global Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
VST Industries Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Sunteck Realty Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Aether Industries Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Krbl Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Varroc Engineering Pvt. Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Laxmi Organic Industries Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Star Cement Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Latent View Analytics Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Sun Pharma Advanced Research Company Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Easy Trip Planners Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Mishra Dhatu Nigam Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
FDC Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Nesco Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Shyam Metalics & Energy Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Sis Ltd. (Erstwhile Security & Intelligence Service (India) Ltd.),Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Just Dial Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Aditya Birla Sun Life Amc Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Network18 Media & Investments Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Avanti Feeds Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Gujarat Alkalies & Chemicals Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Aarti Drugs Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
TCI Express Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Symphony Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Indigo Paints Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Rossari Biotech Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
La Opala RG Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
MAS Financial Services Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
HLE Glascoat Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
MMTC Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Jindal Worldwide Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Privi Speciality Chemicals Ltd.,Equity,0.01%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
ITI Ltd.,Equity,0.00%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Punjab & Sind Bank,Equity,0.00%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
KIOCL Ltd.,Equity,0.00%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Current Assets,Others,-2.17%,31/12/2023,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Trent Ltd.,Equity,6.71%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,5.59%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
Power Finance Corporation Ltd.,Equity,5.45%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
Max Healthcare Institute Ltd.,Equity,4.98%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
TVS Motor Company Ltd.,Equity,4.72%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
The Indian Hotels Company Ltd.,Equity,3.78%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
The Federal Bank Ltd.,Equity,3.72%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
Au Small Finance Bank Ltd.,Equity,3.71%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
Persistent Systems Ltd.,Equity,3.67%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
Tube Investments Of India Ltd.,Equity,3.62%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
Colgate-Palmolive Ltd.,Equity,3.30%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
Lupin Ltd.,Equity,3.13%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
Bharat Forge Ltd.,Equity,3.11%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Equity,3.08%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
MRF Ltd.,Equity,3.07%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
Tata Elxsi Ltd.,Equity,2.99%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
APL Apollo Tubes Ltd.,Equity,2.88%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
Canara Bank,Equity,2.88%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
CG Power & Industrial Solutions Ltd.,Equity,2.86%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
PI Industries Ltd.,Equity,2.77%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
Jindal Steel & Power Ltd.,Equity,2.77%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
Cummins India Ltd.,Equity,2.61%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
Zee Entertainment Enterprises Ltd.,Equity,2.59%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
Ashok Leyland Ltd.,Equity,2.56%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
Container Corporation Of India Ltd.,Equity,2.31%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
Page Industries Ltd.,Equity,2.27%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
Mphasis Ltd.,Equity,2.23%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
Voltas Ltd.,Equity,2.23%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,2.21%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
Max Financial Services Ltd.,Equity,2.20%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
Triparty Repo,Others,0.03%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
Current Assets,Others,-0.03%,31/12/2023,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
HDFC Bank Ltd.,Equity,15.73%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
Reliance Industries Ltd.,Equity,10.81%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
ICICI Bank Ltd.,Equity,8.47%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
Infosys Ltd.,Equity,6.68%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
Larsen & Toubro Ltd.,Equity,5.17%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
ITC Ltd.,Equity,4.96%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
Tata Consultancy Services Ltd.,Equity,4.71%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
Axis Bank Ltd.,Equity,3.79%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
Kotak Mahindra Bank Ltd.,Equity,3.31%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
Bharti Airtel Ltd.,Equity,3.17%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
State Bank Of India,Equity,2.99%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
Hindustan Unilever Ltd.,Equity,2.88%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
Bajaj Finance Ltd.,Equity,2.47%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
Mahindra & Mahindra Ltd.,Equity,2.00%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
HCL Technologies Ltd.,Equity,1.88%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
Asian Paints Ltd.,Equity,1.86%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
Titan Company Ltd.,Equity,1.86%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
National Thermal Power Corporation Ltd.,Equity,1.79%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
Tata Motors Ltd.,Equity,1.70%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
Maruti Suzuki India Ltd.,Equity,1.66%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
Sun Pharmaceuticals Ind Ltd.,Equity,1.65%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
Ultratech Cement Ltd.,Equity,1.47%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
Tata Steel Ltd.,Equity,1.36%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
Power Grid Corporation Of India Ltd.,Equity,1.31%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
Indusind Bank Ltd.,Equity,1.27%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
Nestle India Ltd.,Equity,1.14%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
Bajaj Finserv Ltd.,Equity,1.11%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
JSW Steel Ltd.,Equity,1.02%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
Tech Mahindra Ltd.,Equity,0.96%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
Triparty Repo,Others,0.83%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
Wipro Ltd.,Equity,0.81%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
Current Assets,Others,-0.82%,31/12/2023,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
HDFC Bank Ltd.,Equity,13.52%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Reliance Industries Ltd.,Equity,9.20%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
ICICI Bank Ltd.,Equity,7.36%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Infosys Ltd.,Equity,5.80%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Larsen & Toubro Ltd.,Equity,4.39%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
ITC Ltd.,Equity,4.31%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Tata Consultancy Services Ltd.,Equity,4.05%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Axis Bank Ltd.,Equity,3.22%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Kotak Mahindra Bank Ltd.,Equity,2.95%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Bharti Airtel Ltd.,Equity,2.75%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
State Bank Of India,Equity,2.59%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Hindustan Unilever Ltd.,Equity,2.50%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Bajaj Finance Ltd.,Equity,2.15%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
HCL Technologies Ltd.,Equity,1.63%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Mahindra & Mahindra Ltd.,Equity,1.63%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Asian Paints Ltd.,Equity,1.61%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Titan Company Ltd.,Equity,1.61%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
National Thermal Power Corporation Ltd.,Equity,1.56%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Tata Motors Ltd.,Equity,1.45%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Maruti Suzuki India Ltd.,Equity,1.43%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Sun Pharmaceuticals Ind Ltd.,Equity,1.43%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Ultratech Cement Ltd.,Equity,1.28%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Tata Steel Ltd.,Equity,1.19%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Power Grid Corporation Of India Ltd.,Equity,1.14%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Indusind Bank Ltd.,Equity,1.11%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Nestle India Ltd.,Equity,1.00%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Bajaj Finserv Ltd.,Equity,0.96%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Hindalco Industries Ltd.,Equity,0.95%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Coal India Ltd.,Equity,0.90%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
JSW Steel Ltd.,Equity,0.88%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Oil & Natural Gas Corporation Ltd.,Equity,0.84%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Tech Mahindra Ltd.,Equity,0.84%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Grasim Industries Ltd.,Equity,0.83%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Bajaj Auto Ltd.,Equity,0.81%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Adani Ports and Special Economic Zone Ltd.,Equity,0.79%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Adani Enterprises Ltd.,Equity,0.79%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Dr Reddys Laboratories Ltd.,Equity,0.74%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
HDFC Life Insurance Company Ltd.,Equity,0.72%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Wipro Ltd.,Equity,0.70%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Tata Consumer Products Ltd.,Equity,0.69%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Cipla Ltd.,Equity,0.69%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
SBI Life Insurance Company Ltd.,Equity,0.68%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Britannia Industries Ltd.,Equity,0.66%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Ltimindtree Ltd.,Equity,0.61%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Apollo Hospitals Enterprise Ltd.,Equity,0.60%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Eicher Motors Ltd.,Equity,0.60%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Hero Motocorp Ltd.,Equity,0.57%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Divi Laboratories Ltd.,Equity,0.52%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Bharat Petroleum Corporation Ltd.,Equity,0.45%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,0.31%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Net Receivables/(Payable),Others,0.01%,31/12/2023,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
ICICI Bank Ltd.,Equity,4.10%,31/12/2023,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
Hindustan Unilever Ltd.,Equity,4.09%,31/12/2023,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
Nestle India Ltd.,Equity,3.95%,31/12/2023,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
Sun Pharmaceuticals Ind Ltd.,Equity,3.95%,31/12/2023,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
Britannia Industries Ltd.,Equity,3.86%,31/12/2023,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
Kotak Mahindra Bank Ltd.,Equity,3.75%,31/12/2023,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
HDFC Bank Ltd.,Equity,3.73%,31/12/2023,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
ITC Ltd.,Equity,3.63%,31/12/2023,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
Asian Paints Ltd.,Equity,3.62%,31/12/2023,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
Ultratech Cement Ltd.,Equity,3.58%,31/12/2023,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
Reliance Industries Ltd.,Equity,3.48%,31/12/2023,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
Tata Consultancy Services Ltd.,Equity,3.48%,31/12/2023,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
Dr Reddys Laboratories Ltd.,Equity,3.47%,31/12/2023,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
Wipro Ltd.,Equity,3.44%,31/12/2023,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
Larsen & Toubro Ltd.,Equity,3.32%,31/12/2023,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
National Thermal Power Corporation Ltd.,Equity,3.15%,31/12/2023,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
Dabur India Ltd.,Equity,3.09%,31/12/2023,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
Bajaj Auto Ltd.,Equity,3.08%,31/12/2023,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
HCL Technologies Ltd.,Equity,3.07%,31/12/2023,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
Marico Ltd.,Equity,3.05%,31/12/2023,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
Colgate-Palmolive Ltd.,Equity,3.03%,31/12/2023,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
Pidilite Industries Ltd.,Equity,3.00%,31/12/2023,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
Bosch Ltd.,Equity,2.99%,31/12/2023,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
Power Grid Corporation Of India Ltd.,Equity,2.98%,31/12/2023,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
Torrent Pharmaceuticals Ltd.,Equity,2.97%,31/12/2023,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
SBI Life Insurance Company Ltd.,Equity,2.92%,31/12/2023,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
Indian Oil Corporation Ltd.,Equity,2.88%,31/12/2023,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
Berger Paints India Ltd.,Equity,2.82%,31/12/2023,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
Hero Motocorp Ltd.,Equity,2.76%,31/12/2023,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
Cipla Ltd.,Equity,2.74%,31/12/2023,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
Current Assets,Others,0.03%,31/12/2023,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
HDFC Bank Ltd.,Equity,13.52%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Reliance Industries Ltd.,Equity,9.20%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
ICICI Bank Ltd.,Equity,7.36%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Infosys Ltd.,Equity,5.80%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Larsen & Toubro Ltd.,Equity,4.39%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
ITC Ltd.,Equity,4.31%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Tata Consultancy Services Ltd.,Equity,4.04%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Axis Bank Ltd.,Equity,3.22%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Kotak Mahindra Bank Ltd.,Equity,2.95%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Bharti Airtel Ltd.,Equity,2.75%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
State Bank Of India,Equity,2.59%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Hindustan Unilever Ltd.,Equity,2.50%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Bajaj Finance Ltd.,Equity,2.14%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
HCL Technologies Ltd.,Equity,1.63%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Mahindra & Mahindra Ltd.,Equity,1.63%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Asian Paints Ltd.,Equity,1.61%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Titan Company Ltd.,Equity,1.61%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
National Thermal Power Corporation Ltd.,Equity,1.56%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Tata Motors Ltd.,Equity,1.45%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Maruti Suzuki India Ltd.,Equity,1.43%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Sun Pharmaceuticals Ind Ltd.,Equity,1.43%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Ultratech Cement Ltd.,Equity,1.28%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Tata Steel Ltd.,Equity,1.19%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Power Grid Corporation Of India Ltd.,Equity,1.14%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Indusind Bank Ltd.,Equity,1.11%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Nestle India Ltd.,Equity,1.00%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Bajaj Finserv Ltd.,Equity,0.96%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Hindalco Industries Ltd.,Equity,0.95%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Coal India Ltd.,Equity,0.90%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
JSW Steel Ltd.,Equity,0.88%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Oil & Natural Gas Corporation Ltd.,Equity,0.84%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Tech Mahindra Ltd.,Equity,0.84%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Grasim Industries Ltd.,Equity,0.83%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Bajaj Auto Ltd.,Equity,0.81%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Adani Ports and Special Economic Zone Ltd.,Equity,0.79%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Adani Enterprises Ltd.,Equity,0.79%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Dr Reddys Laboratories Ltd.,Equity,0.74%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
HDFC Life Insurance Company Ltd.,Equity,0.72%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Wipro Ltd.,Equity,0.70%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Tata Consumer Products Ltd.,Equity,0.69%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
Cipla Ltd.,Equity,0.69%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
SBI Life Insurance Company Ltd.,Equity,0.68%,31/12/2023,Kotak Nifty 50 ETF,ETFs - Others
