Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,Sector,CMP / BV,ROA 12M  %,Debt / Eq,ROE  %,Prom. Hold.  %,Earnings Yield  %,Pledged  %,Ind PE,EV  Rs.Cr.,No. Eq. Shares  Cr.,B.V.  Rs.,Inven TO,Quick Rat,Export  %,Piotski Scr,G Factor,Asset Turnover,Leverage,Unpledged Prom Hold  %,ROIC  %,Debtor days,Ind PBV,Credit Rate,WC Days,BEP  %,Graham's Number  Rs.,Cash Cycle,Days Payable,Days Receivable,Inventory Days,Public Hold  %,FII Hold  %,Chg in FII Hold  %,DII Hold  %,Chg in DII Hold  %,Symbol
Adani Ports,799.5,23.37,172703.11,0.63,2119.38,82.57,6247.55,23.52,9.61,Infrastructure Developers & Operators,3.8,6.06,1.16,14.33,62.89,4.74,4.02,20.28,221590.74,216.01,210.25,2.42,1.0,0.0,5,4,0.2,2.31,60.36,11.51,68.98,3.5,,5.41,9.33,371.57,68.98,,68.98,,7.66,16.99,-1.0,12.45,-0.57,NSE : ADANIPORTS
GMR Airports Inf,62.95,,37996.28,0.0,16.84,104.33,2017.63,40.2,4.72,Infrastructure Developers & Operators,,-2.62,,,59.07,2.36,71.0,22.31,66132.67,603.59,-1.31,1.65,0.96,0.0,4,5,0.16,-51.21,17.13,7.19,20.18,2.3,,-23.57,3.54,,20.18,,20.18,,8.36,28.15,-0.21,4.43,0.32,NSE : GMRINFRA
IRB Infra.Devl.,30.4,37.42,18358.56,0.66,133.77,-63.17,1634.22,-15.09,8.73,Infrastructure Developers & Operators,1.37,1.69,1.25,5.55,34.21,7.02,49.11,25.75,32689.62,603.9,22.15,1.36,1.55,0.0,8,1,0.15,3.19,17.41,5.48,93.24,2.53,,156.19,5.37,20.12,-83.9,437.75,93.24,260.61,10.43,48.37,-0.15,6.98,0.0,Not Found
HFCL,74.85,32.44,10312.52,0.27,75.56,33.07,995.19,-5.31,15.69,Infrastructure Developers & Operators,3.32,5.97,0.25,10.19,39.23,5.7,44.68,22.31,10758.05,137.78,22.56,5.23,1.55,0.0,4,4,0.89,1.71,21.7,12.88,145.14,2.3,,174.6,11.2,34.22,114.89,109.76,145.14,79.51,48.6,9.05,2.28,4.45,1.67,NSE : HFCL
Engineers India,157.75,21.09,8866.22,1.9,138.93,114.37,818.27,0.43,23.81,Infrastructure Developers & Operators,4.52,8.09,0.01,18.56,51.32,6.86,0.0,22.31,7788.75,56.2,34.9,0.0,1.04,0.0,6,6,0.78,2.18,51.32,89.17,40.3,2.3,,-108.28,12.18,76.64,40.3,,40.3,,22.51,7.7,-0.26,18.46,2.65,NSE : ENGINERSIN
Reliance Infra.,186.9,,6574.96,0.0,-567.3,-397.34,5564.6,-9.84,10.62,Infrastructure Developers & Operators,0.71,-0.12,1.24,-0.67,18.65,12.66,0.0,22.31,16708.27,35.18,264.18,194.45,0.33,0.0,5,3,0.36,6.63,18.65,59.72,41.9,2.3,,-279.18,3.47,,41.9,,41.9,,65.22,12.92,0.62,3.06,-0.07,NSE : RELINFRA
Techno Elec.Engg,534.55,58.46,5880.05,1.12,25.26,29.74,273.93,88.29,8.14,Infrastructure Developers & Operators,3.03,3.65,0.0,5.12,61.51,2.95,0.0,22.31,5733.89,11.0,176.42,-0.54,4.26,0.0,6,2,0.31,1.36,61.51,5.91,282.19,2.3,,816.14,6.08,252.21,282.19,,282.19,,12.08,2.18,0.08,24.21,-0.82,Not Found
ISGEC Heavy,694.4,22.37,5105.89,0.43,52.53,184.13,1385.76,11.15,11.0,Infrastructure Developers & Operators,2.22,2.96,0.54,8.83,62.43,6.6,0.0,22.31,6130.67,7.35,313.39,3.07,1.02,0.0,9,2,0.93,2.99,62.43,9.08,160.82,2.3,,102.83,5.74,468.94,129.44,141.01,160.82,109.63,26.61,2.77,0.32,8.17,0.37,NSE : ISGEC
Dilip Buildcon,321.8,,4705.2,0.03,12.31,117.45,2920.78,1.26,5.34,Infrastructure Developers & Operators,1.18,-1.78,1.66,-7.47,70.15,6.83,24.99,25.75,10937.17,14.62,273.68,1.74,0.75,0.0,7,4,0.67,3.97,52.62,-0.14,47.7,2.53,,134.75,4.84,168.68,73.56,254.23,47.7,280.09,18.26,2.56,-2.14,9.03,0.0,NSE : DBL
IRB InvIT Fund,70.07,11.37,4067.56,,100.59,-2.18,268.09,-62.56,8.48,Infrastructure Investment Trusts,1.02,2.92,0.76,8.78,18.48,7.84,0.0,24.11,7069.58,58.05,69.02,,0.93,0.0,7,4,0.12,3.05,18.48,5.09,0.0,1.63,,8.7,4.43,99.43,0.0,,0.0,,,,,,,NSE : IRBINVIT
Virescent Renew.,114.4,43.87,2299.44,,32.44,-36.42,150.3,1.13,7.88,Infrastructure Investment Trusts,2.38,2.39,1.83,6.4,77.11,5.3,0.0,31.99,3886.29,20.1,48.1,0.23,1.66,0.0,7,0,0.18,3.07,77.11,7.71,81.3,1.87,,77.21,7.08,53.25,81.3,,81.3,,,,,,,NSE : VIRESCENT
Life Insurance,645.75,9.02,408436.73,0.46,9543.71,1297.55,189300.06,12.63,148.72,Infrastructure Investment Trusts,8.94,0.83,0.0,129.81,96.5,13.65,0.0,48.22,370083.27,632.5,72.2,,3.14,0.0,8,7,0.18,96.14,96.5,24.7,0.0,6.43,,41.35,1.11,340.95,0.0,,0.0,,2.58,0.08,0.0,0.83,-0.07,NSE : LICI
HDFC Life Insur.,641.35,96.86,137887.94,0.3,416.72,15.31,23371.42,249.34,9.56,Infrastructure Investment Trusts,10.61,0.57,0.07,9.57,50.33,1.09,0.0,48.22,137669.39,215.0,60.45,,0.86,0.0,5,2,0.29,18.42,50.33,9.56,0.0,6.43,,-11.84,0.61,94.91,0.0,,0.0,,12.58,30.89,1.04,6.16,-0.26,NSE : HDFCLIFE
SBI Life Insuran,1320.55,71.89,132192.34,0.19,381.04,44.96,27895.42,480.41,15.47,Insurance,9.77,0.59,0.0,13.97,55.45,1.58,0.0,48.22,128944.11,100.1,135.23,,1.73,0.0,6,3,0.27,22.59,55.45,33.03,0.0,6.43,,0.8,0.61,236.43,0.0,,0.0,,4.19,26.22,1.08,14.15,-0.94,NSE : SBILIFE
ICICI Pru Life,561.8,93.66,80838.77,0.11,206.19,31.7,23383.59,1551.61,10.02,Insurance,7.68,0.33,0.11,8.45,73.33,1.35,0.0,48.22,81665.77,143.89,73.11,,0.99,0.0,5,4,0.2,24.79,73.33,81.45,0.0,6.43,,-5.5,0.41,99.35,0.0,,0.0,,4.92,15.43,0.23,6.32,0.18,NSE : ICICIPRULI
ICICI Lombard,1341.35,37.23,65911.66,0.75,390.36,11.84,4694.4,13.68,21.24,Insurance,6.02,3.27,0.0,17.64,48.01,3.29,0.0,48.22,65839.45,49.14,222.92,,0.26,0.0,7,3,0.34,5.07,48.01,21.24,0.0,6.43,,-685.49,3.75,425.21,0.0,,0.0,,11.79,22.0,-0.85,18.1,0.87,NSE : ICICIGI
General Insuranc,219.55,5.38,38517.85,3.28,977.66,34.05,11165.84,-11.7,19.78,Insurance,0.82,4.39,0.0,17.01,85.78,54.43,0.0,48.22,14989.52,175.44,269.1,,0.48,0.0,7,6,0.3,3.48,85.78,19.78,0.0,6.43,,-564.03,4.8,496.94,0.0,,0.0,,2.42,0.77,0.1,11.02,0.0,NSE : GICRE
Star Health Insu,636.4,53.4,37019.73,0.0,287.85,34.99,3293.73,13.93,14.69,Insurance,6.79,4.31,0.09,12.29,58.25,2.48,0.0,48.22,37180.37,58.17,93.66,,0.12,0.0,7,5,0.84,2.64,58.25,14.69,0.0,6.43,,-255.11,6.06,158.54,0.0,,0.0,,5.56,33.09,-2.15,3.08,1.64,NSE : STARHEALTH
New India Assura,129.95,18.29,21415.76,1.49,261.18,94.39,9900.04,15.19,4.86,Insurance,0.78,1.08,0.0,4.06,85.44,14.82,0.0,48.22,9537.23,164.8,167.02,,0.37,0.0,6,4,0.42,3.76,85.44,4.86,0.0,6.43,,-433.64,1.39,163.65,0.0,,0.0,,1.97,0.66,0.01,11.93,0.0,NSE : NIACL
Control Print,787.9,23.38,1286.78,1.14,14.48,22.05,83.61,26.26,23.11,IT - Hardware,4.38,15.1,0.02,19.12,51.78,5.38,0.0,51.86,1275.32,1.63,180.0,1.71,1.96,0.0,8,5,0.87,1.19,51.78,21.09,89.45,1.87,,141.65,18.35,369.55,255.46,64.9,89.45,230.91,35.73,5.25,-0.07,7.23,-2.59,NSE : CONTROLPR
D-Link India,326.4,12.96,1158.88,1.53,20.72,32.74,297.69,1.56,34.68,IT - Hardware,3.21,15.26,0.03,26.05,51.02,10.57,0.0,51.86,1147.9,3.55,101.57,8.28,1.73,0.0,7,6,2.12,1.53,51.02,24.58,94.44,1.87,,93.88,19.88,239.95,60.53,85.83,94.44,51.91,48.79,0.13,-0.22,0.05,-0.06,NSE : DLINKINDIA
AGS Transact,65.35,43.26,795.46,0.0,0.64,-96.67,371.17,-11.1,12.01,IT - Hardware,1.49,1.59,2.3,7.27,65.52,9.09,12.77,51.86,1932.34,12.17,43.96,2.57,1.2,0.0,7,0,0.72,4.33,57.16,8.43,153.53,1.87,,137.74,7.7,38.73,-446.52,751.65,153.53,151.6,28.4,0.06,-0.57,5.27,0.0,NSE : AGSTRA
TVS Elec.,385.75,119.31,719.44,0.52,0.32,-91.58,89.84,4.1,12.35,IT - Hardware,7.07,4.2,0.13,9.17,59.91,1.34,0.0,51.86,721.75,1.87,54.58,3.44,0.74,0.0,3,3,1.67,2.08,59.91,13.64,47.96,1.87,,28.08,4.38,63.01,35.69,133.87,47.96,121.6,40.07,0.01,-0.08,0.02,0.0,NSE : TVSELECT
HCL Infosystems,18.05,,594.22,0.0,-5.89,60.34,11.3,23.9,-32.35,IT - Hardware,,-10.56,,,62.89,-5.59,0.0,51.86,768.5,32.92,-7.7,12.22,0.32,0.0,6,3,0.06,-1.97,62.89,-32.35,295.16,1.87,,-3955.39,-8.49,,-3765.56,4089.47,295.16,28.76,36.94,0.16,0.1,0.0,-0.15,NSE : HCL-INSYS
Compuage Info.,13.35,,114.5,1.5,-137.42,-1417.55,388.94,-69.83,-6.27,IT - Hardware,0.66,-10.4,2.74,-54.28,42.65,-9.0,0.0,51.86,505.6,8.58,20.25,12.22,0.99,0.0,4,2,3.4,6.33,42.65,-6.74,61.63,1.87,,50.53,-4.47,,45.39,32.78,61.63,16.54,57.35,0.01,-0.58,0.0,0.0,NSE - BZ : COMPINFO
Panache Digilife,81.9,95.42,98.28,0.0,-0.08,-126.09,5.96,-79.55,9.41,IT - Hardware,3.13,1.32,1.12,4.23,65.49,4.13,0.0,51.86,133.62,1.2,26.2,3.81,0.98,0.0,4,1,1.12,3.17,65.49,5.45,156.51,1.87,,181.85,5.4,18.14,179.21,71.64,156.51,94.34,,,,,,NSE - BE : PANACHE
WEP Solutions,24.39,14.69,88.71,2.05,0.9,26.76,15.8,-46.33,9.07,IT - Hardware,1.54,7.42,0.09,10.43,41.85,6.14,0.0,51.86,92.3,3.64,15.85,4.12,1.32,0.0,7,4,1.18,1.35,41.85,11.13,63.34,1.87,,84.4,7.34,24.34,134.63,18.83,63.34,90.11,58.15,0.0,0.0,0.0,0.0,BSE: 532373
Cerebra Integr.,5.8,,70.29,0.0,-8.34,-484.33,6.85,-77.49,3.34,IT - Hardware,0.27,0.66,0.16,1.05,0.23,-1.71,0.0,51.86,109.02,12.12,21.49,1.8,1.31,0.0,3,1,0.21,1.58,0.23,7.06,593.19,1.87,,541.44,-0.47,,552.63,310.0,593.19,269.44,99.7,0.01,0.0,0.0,0.0,NSE - BE : CEREBRAINT
Vintron Info.,4.04,,31.66,0.0,-0.15,-183.33,0.0,-100.0,,IT - Hardware,,-16.88,,,73.93,-2.74,0.0,51.86,42.34,7.84,-1.61,8.84,0.33,0.0,3,3,3.32,-0.44,73.93,,31.55,1.87,,-56.99,-31.61,,-51.66,100.86,31.55,17.65,26.07,0.0,0.0,0.0,0.0,BSE: 517393
TCS,3379.2,28.27,1236466.64,1.42,11120.0,16.84,59381.0,12.55,59.11,IT - Software,13.67,29.8,0.09,46.92,72.3,4.85,0.48,28.02,1233122.64,365.91,247.12,1.54,1.68,0.0,6,3,1.59,1.57,71.95,82.72,80.87,7.23,,32.81,41.9,815.3,80.87,,80.87,,5.38,12.46,-0.26,9.8,0.22,NSE : TCS
HCL Technologies,1185.8,21.32,321786.41,4.05,3531.0,7.62,26296.0,12.07,28.28,IT - Software,4.92,16.08,0.07,23.0,60.81,6.48,0.0,28.02,311856.41,271.37,241.02,11.99,2.24,0.0,8,5,1.11,1.39,60.81,23.9,91.76,7.23,,46.94,21.69,549.36,91.76,,91.76,,4.63,18.98,0.06,15.33,0.05,NSE : HCLTECH
Wipro,416.35,19.63,228592.12,0.24,2886.0,12.16,22831.0,6.05,17.71,IT - Software,2.94,10.14,0.22,15.87,72.91,6.89,0.0,28.02,236870.72,549.04,141.53,5.27,1.31,0.0,5,3,0.81,1.44,72.91,19.3,50.97,7.23,,36.17,13.96,260.08,50.97,,50.97,,12.71,6.46,0.08,7.69,-0.32,NSE : WIPRO
LTIMindtree,5303.35,35.23,156929.04,1.13,1152.3,4.15,8702.1,13.84,37.74,IT - Software,8.63,20.02,0.09,28.55,68.66,3.85,0.0,28.02,156344.94,29.59,614.52,13.73,3.46,0.0,5,4,1.51,1.33,68.66,41.16,61.86,7.23,,48.22,24.35,1569.49,61.86,,61.86,,10.71,8.21,-0.2,12.34,0.73,NSE : LTIM
Tech Mahindra,1228.05,27.33,119727.87,2.61,703.6,-38.8,13159.0,3.55,22.49,IT - Software,4.28,10.76,0.1,17.62,35.16,5.36,0.0,28.02,118213.37,97.49,286.66,5.47,1.62,0.0,5,3,1.18,1.62,35.16,20.33,88.23,7.23,,40.38,13.83,539.35,88.23,,88.23,,12.11,25.69,-1.18,26.86,1.18,NSE : TECHM
L&T Technology,4450.7,38.02,47036.47,1.01,312.1,12.96,2301.4,14.71,32.75,IT - Software,9.49,17.62,0.09,25.01,73.8,3.79,0.0,28.02,46800.77,10.57,468.8,,2.0,0.0,6,3,1.23,1.31,73.8,40.61,78.8,7.23,,41.43,25.69,1111.59,78.8,,78.8,,10.51,5.31,-1.38,10.37,1.96,NSE : LTTS
Mphasis,2433.2,28.11,45872.02,2.05,396.05,-1.45,3252.01,-4.67,28.9,IT - Software,5.78,14.65,0.03,21.86,55.58,5.03,0.0,28.02,45017.06,18.85,421.17,,1.64,0.0,6,3,1.24,1.4,55.58,28.11,66.68,7.23,,24.66,19.68,906.19,66.68,,66.68,,6.19,17.19,-0.53,21.05,0.05,NSE : MPHASIS
Tata Elxsi,7284.1,59.74,45362.78,0.83,188.85,2.24,850.27,17.13,47.74,IT - Software,21.75,30.69,0.09,41.07,43.92,2.2,0.0,35.25,44355.85,6.23,334.92,409.48,4.83,0.0,6,4,1.28,1.18,43.92,35.09,113.33,2.43,,77.99,35.27,958.55,-88.04,202.13,113.33,0.76,37.77,14.22,0.37,4.08,0.54,NSE : TATAELXSI
Persistent Sys,5543.3,44.13,42364.67,0.72,228.77,8.11,2321.18,23.59,30.3,IT - Software,10.68,15.42,0.17,25.32,31.06,3.2,0.0,35.25,42116.76,7.64,518.82,,1.7,0.0,8,4,1.39,1.52,31.06,25.48,68.64,2.43,,23.44,20.36,1197.12,68.64,,68.64,,17.99,20.5,-0.05,28.04,0.44,NSE : PERSISTENT
Oracle Fin.Serv.,4136.25,19.72,35795.01,5.44,500.98,1.87,1462.42,4.28,35.11,IT - Software,4.79,20.4,0.01,24.81,72.9,8.6,0.0,35.25,30394.67,8.65,863.33,,6.55,0.0,4,4,0.64,1.19,72.9,26.11,69.39,2.43,,40.72,28.67,2020.07,69.39,,69.39,,10.84,7.79,0.35,8.46,-0.07,Not Found
Metro Brands,1053.25,81.89,28620.49,0.38,93.5,-11.39,582.52,14.68,24.59,Leather,18.49,13.82,0.61,25.43,74.2,1.86,0.0,46.14,29364.94,27.17,56.96,1.65,0.77,0.0,6,4,0.81,1.69,74.2,20.79,21.65,1.14,,77.86,18.64,128.4,177.27,120.13,21.65,275.76,17.45,2.61,-0.19,5.72,0.43,NSE : METROBRAND
Relaxo Footwear,924.3,133.68,23009.39,0.27,56.32,45.64,738.82,10.74,11.85,Leather,12.4,6.41,0.09,8.65,71.27,1.08,0.0,46.14,23099.46,24.89,74.52,2.31,0.91,0.0,4,4,1.14,1.31,71.27,10.08,35.46,1.14,,63.51,9.98,107.67,120.51,69.17,35.46,154.22,17.51,2.87,0.05,8.34,0.38,NSE : RELAXO
Bata India,1684.2,69.71,21646.61,0.8,106.89,-10.45,958.15,1.6,19.56,Leather,15.05,9.48,0.87,19.81,50.16,2.35,0.0,46.14,22361.86,12.85,111.9,1.77,0.86,99.7,7,1,1.02,2.36,50.16,16.99,8.73,1.14,,52.43,16.04,246.63,128.14,98.71,8.73,218.13,12.89,6.63,0.78,30.31,-0.25,NSE : BATAINDIA
Campus Activewe.,303.75,78.99,9263.93,0.0,31.48,0.51,353.76,4.75,23.11,Leather,11.57,10.95,0.61,23.91,73.94,1.95,0.0,46.14,9574.95,30.5,26.24,1.86,0.66,0.0,6,4,1.39,1.94,73.94,16.42,43.44,1.14,,109.87,15.9,47.67,157.32,104.04,43.44,217.92,7.93,11.49,-0.77,6.63,-0.09,NSE : CAMPUS
Mirza Internatio,44.85,14.42,619.84,0.0,2.18,-80.38,124.19,-31.13,7.96,Leather,1.36,3.9,0.06,5.3,71.76,10.19,0.0,46.14,640.21,13.82,32.94,3.07,1.31,0.0,5,3,1.04,1.33,71.76,5.96,46.74,1.14,,101.63,11.01,51.1,108.6,58.84,46.74,120.7,25.83,2.4,0.84,0.0,-4.13,NSE : MIRZAINT
Sreeleathers,215.95,18.87,500.03,0.0,6.48,15.71,49.63,10.51,9.8,Leather,1.34,6.84,0.01,7.23,75.0,7.32,0.0,46.14,495.32,2.32,160.59,10.95,0.72,0.0,7,3,0.53,1.01,75.0,15.96,0.62,1.14,,6.18,9.21,203.35,16.69,19.05,0.62,35.11,19.57,5.44,0.16,0.0,0.0,NSE : SREEL
Khadim India,275.1,31.29,494.34,0.0,1.65,-50.75,157.98,-4.87,10.41,Leather,2.19,2.23,1.37,7.15,60.27,6.39,0.0,46.14,789.83,1.8,125.41,2.31,0.8,0.0,7,2,0.95,3.08,60.27,8.14,103.68,1.14,,127.69,6.87,157.51,103.27,172.2,103.68,171.79,33.86,0.0,-0.01,5.87,-0.37,NSE - BE : KHADIM
Liberty Shoes,256.75,39.92,437.5,0.97,3.35,-39.38,143.36,-11.08,9.87,Leather,2.21,2.91,0.81,6.78,58.5,4.71,0.0,46.14,594.04,1.7,116.3,1.79,0.63,0.0,7,3,1.45,2.28,58.5,5.9,48.79,1.14,,115.49,5.94,128.72,182.24,84.93,48.79,218.37,41.5,0.0,-0.31,0.0,0.0,NSE : LIBERTSHOE
Bhartiya Intl.,222.0,4.38,271.0,0.0,-3.54,-25.18,171.87,-24.02,12.45,Leather,0.7,6.4,1.29,17.6,57.36,14.49,0.0,46.14,739.52,1.22,317.74,0.91,0.48,0.0,7,3,0.82,2.52,57.36,11.73,59.28,1.14,,268.46,10.58,602.1,408.02,73.83,59.28,422.56,34.03,8.61,-0.03,0.0,0.0,NSE - BE : BIL
Lehar Footwears,172.65,36.21,258.18,0.14,2.29,689.66,64.73,77.29,8.16,Leather,2.91,2.62,0.74,6.42,70.99,4.56,0.0,46.14,318.79,1.5,59.42,2.87,0.78,0.0,4,5,1.03,2.2,70.99,5.81,135.72,1.14,,141.55,6.48,81.46,143.86,135.03,135.72,143.17,29.02,0.0,0.0,0.0,0.0,BSE: 532829
Blue Dart Expres,6282.25,47.63,14907.78,0.48,61.28,-48.41,1237.55,-4.31,26.34,Logistics,12.64,11.84,0.95,34.92,75.0,3.14,0.0,47.63,15932.4,2.37,497.12,13.9,0.76,0.0,7,3,1.71,2.57,75.0,28.63,44.93,6.85,,-7.86,15.52,1214.73,44.93,,44.93,,9.64,4.24,-0.61,11.1,1.24,NSE : BLUEDART
TVS Supply,200.2,237.3,8756.95,0.0,38.05,,5419.23,,6.49,Logistics,,0.66,4.59,5.13,43.4,2.3,0.0,25.32,10908.84,43.74,,4.61,0.82,0.0,6,1,1.74,8.13,43.4,6.5,43.8,2.31,,13.64,4.09,,-244.12,379.72,43.8,91.8,44.81,2.36,,9.42,,NSE : TVSSCS
Allcargo Logist.,273.4,15.53,6717.32,1.19,118.94,-71.76,3271.06,-40.24,19.71,Logistics,2.39,7.4,0.42,20.21,69.92,10.31,0.0,25.32,6588.06,24.57,114.54,0.07,1.33,0.0,7,5,2.13,3.01,69.92,18.31,41.21,2.31,,5.38,9.26,238.09,41.21,,41.21,,16.6,10.82,-0.06,2.66,0.47,NSE : ALLCARGO
Transport Corp.,812.1,19.39,6298.93,0.86,83.2,5.78,949.8,5.14,22.75,Logistics,3.7,16.49,0.05,20.47,68.94,6.17,0.0,25.32,6206.22,7.76,219.41,1.47,3.51,0.0,7,3,1.93,1.15,68.94,22.2,54.13,2.31,,50.38,18.22,452.71,54.13,,54.13,,15.76,2.54,-0.23,12.75,0.52,NSE : TCI
VRL Logistics,679.45,36.74,6002.5,0.74,33.95,-6.91,674.22,9.75,17.94,Logistics,6.15,19.75,0.74,39.7,64.24,3.88,0.0,25.32,6646.98,8.83,110.46,16.58,0.69,0.0,6,3,1.62,1.68,64.24,14.2,11.26,2.31,,10.98,13.63,294.26,11.26,,11.26,,8.48,2.18,-0.17,25.1,0.87,NSE : VRLLOG
TCI Express,1409.1,38.42,5401.85,0.57,32.33,4.26,304.87,4.97,32.63,Logistics,9.05,19.99,0.01,24.56,69.66,3.49,0.0,25.32,5392.55,3.83,155.66,,2.15,0.0,5,3,1.78,1.17,69.66,27.03,62.2,2.31,,38.0,25.61,357.98,62.2,,62.2,,17.88,2.3,0.26,10.17,-0.07,NSE : TCIEXP
Sindhu Trade,29.45,222.49,4540.98,0.0,29.34,438.35,427.14,73.99,6.55,Logistics,3.36,-0.07,1.19,-0.28,74.97,3.78,0.0,25.32,6090.67,154.19,8.76,15.46,0.55,0.0,2,4,0.24,3.61,74.97,-0.99,121.02,2.31,,91.44,4.51,5.11,88.45,58.77,121.02,26.2,24.79,0.24,0.0,0.0,0.0,NSE : SINDHUTRAD
Gateway Distri,86.05,17.92,4299.44,2.32,59.82,7.24,358.29,6.04,12.76,Logistics,2.47,9.88,0.28,14.04,32.32,6.13,0.0,25.32,4734.18,49.96,34.87,,0.68,0.0,7,4,0.59,1.37,32.32,15.89,34.81,2.31,,-0.12,12.09,61.38,34.81,,34.81,,13.61,13.79,-0.28,40.29,0.51,NSE : GATEWAY
Mahindra Logis.,393.8,906.32,2836.78,0.63,-8.46,-163.85,1293.22,7.78,7.35,Logistics,5.05,1.09,1.48,4.45,58.04,2.16,0.0,25.32,3544.6,7.2,78.03,33.47,0.94,0.0,5,2,2.26,4.03,58.04,6.57,46.44,2.31,,6.13,3.0,32.09,46.44,,46.44,,13.48,11.51,-0.04,16.97,-1.66,NSE : MAHLOG
Gati,147.05,,1913.93,0.0,-2.75,-170.51,426.19,-1.12,3.74,Logistics,3.11,-0.71,0.52,-1.31,53.04,1.17,0.4,25.32,2138.18,13.02,47.24,85.6,1.18,0.0,7,4,1.37,2.05,52.83,-7.51,56.51,2.31,,30.06,1.94,,-80.05,140.15,56.51,3.59,43.94,1.61,-0.63,1.41,0.03,NSE : JISLJALEQS
Guj Pipavav Port,129.95,18.29,6282.3,4.69,67.83,3.74,214.92,4.05,19.6,Marine Port & Services,2.72,12.18,0.03,14.99,44.01,8.45,0.0,18.29,5466.95,48.34,47.8,3.96,3.61,0.0,7,4,0.33,1.21,44.01,16.22,34.08,2.04,,-45.35,16.11,84.59,34.08,,34.08,,12.32,21.02,-0.88,22.66,0.53,NSE : GPPL
Netwrk.18 Media,69.15,,7239.65,0.0,29.17,-26.08,3238.94,141.73,3.94,Media - Print-Television-Radio,10.72,-0.14,8.99,-2.21,75.0,1.69,0.0,16.8,13078.32,104.69,6.45,0.01,0.31,0.0,1,4,0.54,17.12,75.0,2.21,76.09,1.84,,312.13,1.58,,76.09,,76.09,,18.8,5.62,0.0,0.59,0.01,Not Found
D B Corp,227.65,18.69,4052.23,2.64,78.76,154.06,554.2,12.16,11.82,Media - Print-Television-Radio,2.08,6.65,0.11,8.88,71.97,7.55,0.0,16.8,4117.59,17.8,109.45,4.14,1.81,0.0,5,5,0.83,1.31,71.97,11.16,79.85,1.84,,76.38,12.05,173.31,80.11,91.64,79.85,91.9,11.31,12.51,0.02,4.21,0.08,NSE : DBCORP
Navneet Educat.,160.35,23.92,3627.33,1.62,144.94,-5.36,791.45,14.08,19.39,Media - Print-Television-Radio,3.15,10.79,0.25,15.05,63.31,6.31,0.0,25.0,3887.65,22.62,50.85,1.57,0.93,0.0,5,4,1.16,1.27,63.31,14.94,71.41,2.11,,183.26,14.8,99.46,313.14,27.82,71.41,269.55,22.17,3.36,-0.06,11.15,-0.13,NSE : NAVNETEDUL
Jagran Prakashan,107.9,13.81,2348.49,3.71,43.9,8.4,454.58,0.02,8.93,Media - Print-Television-Radio,1.63,4.53,0.25,7.08,69.0,9.32,99.97,16.8,2735.91,21.77,66.27,6.78,0.94,0.0,5,3,0.61,1.74,0.02,12.19,89.13,1.84,,41.03,8.71,109.61,38.08,111.23,89.13,60.18,16.6,3.31,-0.08,11.09,-0.39,NSE : JAGRAN
NDTV,215.8,347.84,1391.37,0.0,-8.08,-134.78,69.99,-35.04,20.35,Media - Print-Television-Radio,4.98,9.26,0.03,15.72,69.71,1.24,0.0,16.8,1302.51,6.45,43.37,,1.56,0.0,5,3,0.82,1.69,69.71,34.74,69.74,1.84,,-11.49,3.47,51.29,69.74,,69.74,,30.26,0.02,-2.98,0.0,0.0,NSE : NDTV
T.V. Today Netw.,222.3,19.79,1326.43,1.35,8.78,-74.95,222.75,2.11,12.97,Media - Print-Television-Radio,1.6,7.63,0.04,9.54,58.45,7.59,0.0,16.8,1296.84,5.97,138.84,,3.91,0.0,5,3,0.71,1.5,58.45,11.66,88.2,1.84,,232.34,9.18,180.12,88.2,,88.2,,25.42,1.51,-0.46,14.6,0.0,Not Found
Repro India,831.9,94.93,1102.19,0.0,3.04,1688.24,119.53,13.34,5.43,Media - Print-Television-Radio,3.91,1.93,0.36,3.24,50.58,1.89,0.0,25.0,1193.36,1.32,212.54,4.86,0.97,11.14,8,3,0.94,1.65,50.58,5.88,59.11,2.11,,71.26,4.86,207.78,67.25,83.79,59.11,91.93,43.1,6.33,-6.21,0.0,0.0,NSE : REPRO
S Chand & Compan,293.5,22.75,1033.63,1.02,1.08,-82.66,111.09,3.52,8.03,Media - Print-Television-Radio,1.15,3.91,0.17,5.47,47.06,6.61,0.0,25.0,1104.49,3.52,254.75,1.56,1.5,0.0,8,3,0.51,1.35,47.06,6.5,158.66,2.11,,189.52,5.99,316.99,238.69,178.27,158.66,258.3,47.85,1.39,0.54,3.71,-1.0,NSE : SCHAND
Sandesh,1084.2,6.76,820.74,0.46,33.13,166.29,71.99,-12.23,12.86,Media - Print-Television-Radio,0.78,9.19,0.0,9.77,74.81,20.51,0.0,25.0,770.88,0.76,1388.67,4.64,3.28,0.0,7,6,0.32,1.01,74.81,38.7,43.23,2.11,,98.16,14.2,2240.96,69.1,21.43,43.23,47.29,25.2,0.0,0.0,0.0,0.0,NSE : SANDESH
