Sector Name,Dummy,Percentage Allocation,Scheme Name,Fund Type
Healthcare,,14.88%,Mirae Asset Nifty India Manufacturing ETF,ETFs - Others
Metals & Mining,,12.89%,Mirae Asset Nifty India Manufacturing ETF,ETFs - Others
Chemicals,,8.67%,Mirae Asset Nifty India Manufacturing ETF,ETFs - Others
Information Technology,,99.99%,Mirae Asset Nifty IT ETF,ETFs - Others
Current Assets,,0.01%,Mirae Asset Nifty IT ETF,ETFs - Others
Financial Services,,22.15%,Mirae Asset Nifty Midcap 150 ETF,ETFs - Others
Capital Goods,,13.33%,Mirae Asset Nifty Midcap 150 ETF,ETFs - Others
Healthcare,,10.88%,Mirae Asset Nifty Midcap 150 ETF,ETFs - Others
Automobile and Auto Components,,7.25%,Mirae Asset Nifty Midcap 150 ETF,ETFs - Others
Information Technology,,6.87%,Mirae Asset Nifty Midcap 150 ETF,ETFs - Others
Financial Services,,20.33%,Mirae Asset Nifty Next 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,12.68%,Mirae Asset Nifty Next 50 ETF,ETFs - Others
Consumer Services,,11.63%,Mirae Asset Nifty Next 50 ETF,ETFs - Others
Capital Goods,,11.14%,Mirae Asset Nifty Next 50 ETF,ETFs - Others
Chemicals,,6.58%,Mirae Asset Nifty Next 50 ETF,ETFs - Others
Information Technology,,40.13%,Mirae Asset NYSE FANG Plus ETF,ETFs - Others
Services,,10.30%,Mirae Asset NYSE FANG Plus ETF,ETFs - Others
Automobile and Auto Components,,10.15%,Mirae Asset NYSE FANG Plus ETF,ETFs - Others
Telecommunication,,10.01%,Mirae Asset NYSE FANG Plus ETF,ETFs - Others
Consumer Services,,9.98%,Mirae Asset NYSE FANG Plus ETF,ETFs - Others
Information Technology,,28.71%,Mirae Asset S&P 500 TOP 50 ETF,ETFs - Others
Consumer Durables,,12.49%,Mirae Asset S&P 500 TOP 50 ETF,ETFs - Others
Financial Services,,12.45%,Mirae Asset S&P 500 TOP 50 ETF,ETFs - Others
Consumer Services,,9.38%,Mirae Asset S&P 500 TOP 50 ETF,ETFs - Others
Healthcare,,9.12%,Mirae Asset S&P 500 TOP 50 ETF,ETFs - Others
Financial Services,,39.13%,Mirae Asset S&P BSE Sensex ETF,ETFs - Others
Information Technology,,15.04%,Mirae Asset S&P BSE Sensex ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.81%,Mirae Asset S&P BSE Sensex ETF,ETFs - Others
Fast Moving Consumer Goods,,8.98%,Mirae Asset S&P BSE Sensex ETF,ETFs - Others
Automobile and Auto Components,,5.36%,Mirae Asset S&P BSE Sensex ETF,ETFs - Others
Information Technology,,37.92%,Motilal Oswal Nasdaq 100 ETF,ETFs - Others
Services,,11.24%,Motilal Oswal Nasdaq 100 ETF,ETFs - Others
Consumer Durables,,9.21%,Motilal Oswal Nasdaq 100 ETF,ETFs - Others
Consumer Services,,9.06%,Motilal Oswal Nasdaq 100 ETF,ETFs - Others
Healthcare,,6.85%,Motilal Oswal Nasdaq 100 ETF,ETFs - Others
Information Technology,,31.91%,Motilal Oswal NASDAQ Q 50 ETF,ETFs - Others
Healthcare,,20.28%,Motilal Oswal NASDAQ Q 50 ETF,ETFs - Others
Capital Goods,,15.85%,Motilal Oswal NASDAQ Q 50 ETF,ETFs - Others
Consumer Services,,6.92%,Motilal Oswal NASDAQ Q 50 ETF,ETFs - Others
"Media, Entertainment & Publication",,4.78%,Motilal Oswal NASDAQ Q 50 ETF,ETFs - Others
Automobile and Auto Components,,19.43%,Motilal Oswal Nifty 200 Momentum 30 ETF,ETFs - Others
Healthcare,,18.37%,Motilal Oswal Nifty 200 Momentum 30 ETF,ETFs - Others
Capital Goods,,17.99%,Motilal Oswal Nifty 200 Momentum 30 ETF,ETFs - Others
Financial Services,,12.63%,Motilal Oswal Nifty 200 Momentum 30 ETF,ETFs - Others
Consumer Services,,5.03%,Motilal Oswal Nifty 200 Momentum 30 ETF,ETFs - Others
Financial Services,,35.26%,Motilal Oswal Nifty 50 ETF,ETFs - Others
Information Technology,,13.62%,Motilal Oswal Nifty 50 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.40%,Motilal Oswal Nifty 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,9.16%,Motilal Oswal Nifty 50 ETF,ETFs - Others
Automobile and Auto Components,,6.48%,Motilal Oswal Nifty 50 ETF,ETFs - Others
Financial Services,,24.51%,Motilal Oswal Nifty Midcap 100 ETF,ETFs - Others
Healthcare,,11.86%,Motilal Oswal Nifty Midcap 100 ETF,ETFs - Others
Capital Goods,,11.44%,Motilal Oswal Nifty Midcap 100 ETF,ETFs - Others
Information Technology,,8.08%,Motilal Oswal Nifty Midcap 100 ETF,ETFs - Others
Automobile and Auto Components,,6.50%,Motilal Oswal Nifty Midcap 100 ETF,ETFs - Others
Financial Services,,33.96%,Motilal Oswal S&P BSE Enhanced Value ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,33.73%,Motilal Oswal S&P BSE Enhanced Value ETF,ETFs - Others
Metals & Mining,,22.95%,Motilal Oswal S&P BSE Enhanced Value ETF,ETFs - Others
Power,,8.41%,Motilal Oswal S&P BSE Enhanced Value ETF,ETFs - Others
Consumer Durables,,0.81%,Motilal Oswal S&P BSE Enhanced Value ETF,ETFs - Others
Healthcare,,99.94%,Motilal Oswal S&P BSE Healthcare ETF,ETFs - Others
Current Assets,,0.06%,Motilal Oswal S&P BSE Healthcare ETF,ETFs - Others
Healthcare,,21.28%,Motilal Oswal S&P BSE Low Volatility ETF,ETFs - Others
Fast Moving Consumer Goods,,20.18%,Motilal Oswal S&P BSE Low Volatility ETF,ETFs - Others
Automobile and Auto Components,,10.28%,Motilal Oswal S&P BSE Low Volatility ETF,ETFs - Others
Financial Services,,9.52%,Motilal Oswal S&P BSE Low Volatility ETF,ETFs - Others
Information Technology,,8.98%,Motilal Oswal S&P BSE Low Volatility ETF,ETFs - Others
Fast Moving Consumer Goods,,19.57%,Motilal Oswal S&P BSE Quality ETF,ETFs - Others
Capital Goods,,14.97%,Motilal Oswal S&P BSE Quality ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,13.58%,Motilal Oswal S&P BSE Quality ETF,ETFs - Others
Information Technology,,12.51%,Motilal Oswal S&P BSE Quality ETF,ETFs - Others
Financial Services,,8.33%,Motilal Oswal S&P BSE Quality ETF,ETFs - Others
Financial Services,,34.86%,NAVI NIFTY 50 ETF,ETFs - Others
Information Technology,,13.62%,NAVI NIFTY 50 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.34%,NAVI NIFTY 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,9.05%,NAVI NIFTY 50 ETF,ETFs - Others
Automobile and Auto Components,,6.41%,NAVI NIFTY 50 ETF,ETFs - Others
Financial Services,,46.65%,Nippon India ETF Hang Seng BeES,ETFs - Others
Consumer Services,,11.77%,Nippon India ETF Hang Seng BeES,ETFs - Others
Services,,5.33%,Nippon India ETF Hang Seng BeES,ETFs - Others
"Oil, Gas & Consumable Fuels",,4.83%,Nippon India ETF Hang Seng BeES,ETFs - Others
Automobile and Auto Components,,4.54%,Nippon India ETF Hang Seng BeES,ETFs - Others
Financial Services,,32.63%,Nippon India ETF Nifty 100,ETFs - Others
Information Technology,,11.38%,Nippon India ETF Nifty 100,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.57%,Nippon India ETF Nifty 100,ETFs - Others
Fast Moving Consumer Goods,,9.87%,Nippon India ETF Nifty 100,ETFs - Others
Automobile and Auto Components,,6.42%,Nippon India ETF Nifty 100,ETFs - Others
Financial Services,,35.26%,Nippon India ETF Nifty 50 BeES,ETFs - Others
Information Technology,,13.62%,Nippon India ETF Nifty 50 BeES,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.40%,Nippon India ETF Nifty 50 BeES,ETFs - Others
Fast Moving Consumer Goods,,9.16%,Nippon India ETF Nifty 50 BeES,ETFs - Others
Automobile and Auto Components,,6.48%,Nippon India ETF Nifty 50 BeES,ETFs - Others
Information Technology,,47.35%,Nippon India ETF Nifty 50 Shariah BeES,ETFs - Others
Fast Moving Consumer Goods,,14.58%,Nippon India ETF Nifty 50 Shariah BeES,ETFs - Others
Healthcare,,8.90%,Nippon India ETF Nifty 50 Shariah BeES,ETFs - Others
Construction Materials,,7.32%,Nippon India ETF Nifty 50 Shariah BeES,ETFs - Others
Metals & Mining,,6.88%,Nippon India ETF Nifty 50 Shariah BeES,ETFs - Others
Information Technology,,35.41%,Nippon India ETF Nifty 50 Value 20,ETFs - Others
Financial Services,,22.27%,Nippon India ETF Nifty 50 Value 20,ETFs - Others
Fast Moving Consumer Goods,,14.18%,Nippon India ETF Nifty 50 Value 20,ETFs - Others
Power,,7.68%,Nippon India ETF Nifty 50 Value 20,ETFs - Others
Metals & Mining,,6.10%,Nippon India ETF Nifty 50 Value 20,ETFs - Others
Financial Services,,99.95%,Nippon India ETF Nifty Bank BeES,ETFs - Others
Current Assets,,0.05%,Nippon India ETF Nifty Bank BeES,ETFs - Others
Information Technology,,27.99%,Nippon India ETF Nifty Dividend Opportunities 50,ETFs - Others
Fast Moving Consumer Goods,,20.79%,Nippon India ETF Nifty Dividend Opportunities 50,ETFs - Others
Financial Services,,11.50%,Nippon India ETF Nifty Dividend Opportunities 50,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.30%,Nippon India ETF Nifty Dividend Opportunities 50,ETFs - Others
Power,,8.86%,Nippon India ETF Nifty Dividend Opportunities 50,ETFs - Others
Fast Moving Consumer Goods,,37.74%,Nippon India ETF Nifty India Consumption,ETFs - Others
Automobile and Auto Components,,19.27%,Nippon India ETF Nifty India Consumption,ETFs - Others
Consumer Durables,,13.74%,Nippon India ETF Nifty India Consumption,ETFs - Others
Telecommunication,,10.09%,Nippon India ETF Nifty India Consumption,ETFs - Others
Consumer Services,,8.34%,Nippon India ETF Nifty India Consumption,ETFs - Others
"Oil, Gas & Consumable Fuels",,29.93%,Nippon India ETF Nifty Infrastructure BeES,ETFs - Others
Construction,,16.60%,Nippon India ETF Nifty Infrastructure BeES,ETFs - Others
Power,,12.43%,Nippon India ETF Nifty Infrastructure BeES,ETFs - Others
Construction Materials,,11.71%,Nippon India ETF Nifty Infrastructure BeES,ETFs - Others
Telecommunication,,10.40%,Nippon India ETF Nifty Infrastructure BeES,ETFs - Others
Information Technology,,99.95%,Nippon India ETF Nifty IT,ETFs - Others
Current Assets,,0.05%,Nippon India ETF Nifty IT,ETFs - Others
Miscellaneous,,-,Nippon India ETF Nifty IT,ETFs - Others
Financial Services,,22.14%,Nippon India ETF Nifty Midcap 150,ETFs - Others
Capital Goods,,13.32%,Nippon India ETF Nifty Midcap 150,ETFs - Others
Healthcare,,10.87%,Nippon India ETF Nifty Midcap 150,ETFs - Others
Automobile and Auto Components,,7.25%,Nippon India ETF Nifty Midcap 150,ETFs - Others
Information Technology,,6.86%,Nippon India ETF Nifty Midcap 150,ETFs - Others
Financial Services,,20.32%,Nippon India ETF Nifty Next 50 Junior BeES,ETFs - Others
Fast Moving Consumer Goods,,12.68%,Nippon India ETF Nifty Next 50 Junior BeES,ETFs - Others
Consumer Services,,11.63%,Nippon India ETF Nifty Next 50 Junior BeES,ETFs - Others
Capital Goods,,11.14%,Nippon India ETF Nifty Next 50 Junior BeES,ETFs - Others
Chemicals,,6.57%,Nippon India ETF Nifty Next 50 Junior BeES,ETFs - Others
Financial Services,,99.95%,Nippon India ETF Nifty PSU Bank BeES,ETFs - Others
Current Assets,,0.05%,Nippon India ETF Nifty PSU Bank BeES,ETFs - Others
Miscellaneous,,0.01%,Nippon India ETF Nifty PSU Bank BeES,ETFs - Others
Sovereign,,97.16%,Nippon India ETF Nifty SDL Apr 2026 Top 20 Equal Weight,ETFs - Others
Current Assets,,2.83%,Nippon India ETF Nifty SDL Apr 2026 Top 20 Equal Weight,ETFs - Others
Miscellaneous,,-,Nippon India ETF Nifty SDL Apr 2026 Top 20 Equal Weight,ETFs - Others
Financial Services,,23.72%,Nippon India ETF S&P BSE Sensex Next 50,ETFs - Others
Consumer Services,,16.58%,Nippon India ETF S&P BSE Sensex Next 50,ETFs - Others
Fast Moving Consumer Goods,,11.76%,Nippon India ETF S&P BSE Sensex Next 50,ETFs - Others
Capital Goods,,9.03%,Nippon India ETF S&P BSE Sensex Next 50,ETFs - Others
Chemicals,,6.98%,Nippon India ETF S&P BSE Sensex Next 50,ETFs - Others
Financial Services,,39.12%,Nippon India ETF S&P BSE Sensex,ETFs - Others
Information Technology,,15.04%,Nippon India ETF S&P BSE Sensex,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.81%,Nippon India ETF S&P BSE Sensex,ETFs - Others
Fast Moving Consumer Goods,,8.98%,Nippon India ETF S&P BSE Sensex,ETFs - Others
Automobile and Auto Components,,5.36%,Nippon India ETF S&P BSE Sensex,ETFs - Others
Automobile and Auto Components,,93.31%,Nippon India Nifty Auto ETF,ETFs - Others
Capital Goods,,6.61%,Nippon India Nifty Auto ETF,ETFs - Others
Current Assets,,0.08%,Nippon India Nifty Auto ETF,ETFs - Others
Miscellaneous,,-,Nippon India Nifty Auto ETF,ETFs - Others
Healthcare,,99.98%,Nippon India Nifty Pharma ETF,ETFs - Others
Current Assets,,0.02%,Nippon India Nifty Pharma ETF,ETFs - Others
Financial Services,,35.27%,Quantum Nifty 50 ETF,ETFs - Others
Information Technology,,13.62%,Quantum Nifty 50 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.40%,Quantum Nifty 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,9.17%,Quantum Nifty 50 ETF,ETFs - Others
Automobile and Auto Components,,6.48%,Quantum Nifty 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,29.18%,SBI NIFTY 200 Quality 30 ETF,ETFs - Others
Information Technology,,26.07%,SBI NIFTY 200 Quality 30 ETF,ETFs - Others
Consumer Durables,,8.95%,SBI NIFTY 200 Quality 30 ETF,ETFs - Others
Automobile and Auto Components,,6.82%,SBI NIFTY 200 Quality 30 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,6.63%,SBI NIFTY 200 Quality 30 ETF,ETFs - Others
Financial Services,,35.26%,SBI Nifty 50 ETF,ETFs - Others
Information Technology,,13.62%,SBI Nifty 50 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.40%,SBI Nifty 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,9.16%,SBI Nifty 50 ETF,ETFs - Others
Automobile and Auto Components,,6.48%,SBI Nifty 50 ETF,ETFs - Others
Financial Services,,100.00%,SBI Nifty Bank ETF,ETFs - Others
Current Assets,,-,SBI Nifty Bank ETF,ETFs - Others
Fast Moving Consumer Goods,,37.77%,SBI Nifty Consumption ETF,ETFs - Others
Automobile and Auto Components,,19.30%,SBI Nifty Consumption ETF,ETFs - Others
Consumer Durables,,13.76%,SBI Nifty Consumption ETF,ETFs - Others
Telecommunication,,10.09%,SBI Nifty Consumption ETF,ETFs - Others
Consumer Services,,8.34%,SBI Nifty Consumption ETF,ETFs - Others
Information Technology,,100.00%,SBI Nifty IT ETF,ETFs - Others
Current Assets,,-,SBI Nifty IT ETF,ETFs - Others
Financial Services,,20.33%,SBI Nifty Next 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,12.68%,SBI Nifty Next 50 ETF,ETFs - Others
Consumer Services,,11.63%,SBI Nifty Next 50 ETF,ETFs - Others
Capital Goods,,11.14%,SBI Nifty Next 50 ETF,ETFs - Others
Chemicals,,6.58%,SBI Nifty Next 50 ETF,ETFs - Others
Financial Services,,100.00%,SBI Nifty Private Bank ETF,ETFs - Others
Current Assets,,-,SBI Nifty Private Bank ETF,ETFs - Others
Financial Services,,32.98%,SBI S&P BSE 100 ETF,ETFs - Others
Information Technology,,11.53%,SBI S&P BSE 100 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.30%,SBI S&P BSE 100 ETF,ETFs - Others
Fast Moving Consumer Goods,,9.49%,SBI S&P BSE 100 ETF,ETFs - Others
Automobile and Auto Components,,6.38%,SBI S&P BSE 100 ETF,ETFs - Others
Financial Services,,39.13%,SBI S&P BSE Sensex ETF,ETFs - Others
Information Technology,,15.04%,SBI S&P BSE Sensex ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.81%,SBI S&P BSE Sensex ETF,ETFs - Others
Fast Moving Consumer Goods,,9.00%,SBI S&P BSE Sensex ETF,ETFs - Others
Automobile and Auto Components,,5.36%,SBI S&P BSE Sensex ETF,ETFs - Others
Financial Services,,23.75%,SBI S&P BSE Sensex Next 50 ETF,ETFs - Others
Consumer Services,,16.61%,SBI S&P BSE Sensex Next 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,11.78%,SBI S&P BSE Sensex Next 50 ETF,ETFs - Others
Capital Goods,,9.04%,SBI S&P BSE Sensex Next 50 ETF,ETFs - Others
Chemicals,,6.99%,SBI S&P BSE Sensex Next 50 ETF,ETFs - Others
Financial Services,,35.03%,TATA NIFTY 50 EXCHANGE TRADED FUND,ETFs - Others
Information Technology,,13.61%,TATA NIFTY 50 EXCHANGE TRADED FUND,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.36%,TATA NIFTY 50 EXCHANGE TRADED FUND,ETFs - Others
Fast Moving Consumer Goods,,9.13%,TATA NIFTY 50 EXCHANGE TRADED FUND,ETFs - Others
Automobile and Auto Components,,6.46%,TATA NIFTY 50 EXCHANGE TRADED FUND,ETFs - Others
Information Technology,,49.94%,Tata Nifty India Digital Exchange Traded Fund,ETFs - Others
Consumer Services,,28.44%,Tata Nifty India Digital Exchange Traded Fund,ETFs - Others
Telecommunication,,14.32%,Tata Nifty India Digital Exchange Traded Fund,ETFs - Others
Financial Services,,7.21%,Tata Nifty India Digital Exchange Traded Fund,ETFs - Others
Current Assets,,0.09%,Tata Nifty India Digital Exchange Traded Fund,ETFs - Others
Financial Services,,99.83%,Tata Nifty Private Bank Exchange Traded Fund,ETFs - Others
Current Assets,,0.17%,Tata Nifty Private Bank Exchange Traded Fund,ETFs - Others
Financial Services,,35.26%,UTI Nifty 50 ETF,ETFs - Others
Information Technology,,13.62%,UTI Nifty 50 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.40%,UTI Nifty 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,9.16%,UTI Nifty 50 ETF,ETFs - Others
Automobile and Auto Components,,6.48%,UTI Nifty 50 ETF,ETFs - Others
Financial Services,,100.00%,UTI Nifty Bank ETF,ETFs - Others
Current Assets,,-,UTI Nifty Bank ETF,ETFs - Others
Financial Services,,22.13%,UTI Nifty Midcap 150 Exchange Traded Fund,ETFs - Others
Capital Goods,,13.28%,UTI Nifty Midcap 150 Exchange Traded Fund,ETFs - Others
Healthcare,,10.89%,UTI Nifty Midcap 150 Exchange Traded Fund,ETFs - Others
Automobile and Auto Components,,7.30%,UTI Nifty Midcap 150 Exchange Traded Fund,ETFs - Others
Information Technology,,6.85%,UTI Nifty Midcap 150 Exchange Traded Fund,ETFs - Others
Financial Services,,20.33%,UTI Nifty Next 50 Exchange Traded Fund,ETFs - Others
Fast Moving Consumer Goods,,12.68%,UTI Nifty Next 50 Exchange Traded Fund,ETFs - Others
Consumer Services,,11.63%,UTI Nifty Next 50 Exchange Traded Fund,ETFs - Others
Capital Goods,,11.14%,UTI Nifty Next 50 Exchange Traded Fund,ETFs - Others
Chemicals,,6.57%,UTI Nifty Next 50 Exchange Traded Fund,ETFs - Others
Financial Services,,39.13%,UTI S&P BSE Sensex ETF,ETFs - Others
Information Technology,,15.04%,UTI S&P BSE Sensex ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.81%,UTI S&P BSE Sensex ETF,ETFs - Others
Fast Moving Consumer Goods,,9.00%,UTI S&P BSE Sensex ETF,ETFs - Others
Automobile and Auto Components,,5.36%,UTI S&P BSE Sensex ETF,ETFs - Others
Financial Services,,23.74%,UTI S&P BSE Sensex Next 50 Exchange Traded Fund,ETFs - Others
Consumer Services,,16.60%,UTI S&P BSE Sensex Next 50 Exchange Traded Fund,ETFs - Others
Fast Moving Consumer Goods,,11.77%,UTI S&P BSE Sensex Next 50 Exchange Traded Fund,ETFs - Others
Capital Goods,,9.04%,UTI S&P BSE Sensex Next 50 Exchange Traded Fund,ETFs - Others
Chemicals,,6.99%,UTI S&P BSE Sensex Next 50 Exchange Traded Fund,ETFs - Others
Financial Services,,30.69%,360 ONE Flexicap Fund,Flexi Cap Fund
Information Technology,,13.24%,360 ONE Flexicap Fund,Flexi Cap Fund
Capital Goods,,12.12%,360 ONE Flexicap Fund,Flexi Cap Fund
Automobile and Auto Components,,8.57%,360 ONE Flexicap Fund,Flexi Cap Fund
Telecommunication,,5.47%,360 ONE Flexicap Fund,Flexi Cap Fund
Financial Services,,30.53%,Aditya Birla Sun Life Flexi Cap Fund,Flexi Cap Fund
Information Technology,,12.48%,Aditya Birla Sun Life Flexi Cap Fund,Flexi Cap Fund
Healthcare,,12.01%,Aditya Birla Sun Life Flexi Cap Fund,Flexi Cap Fund
Fast Moving Consumer Goods,,6.73%,Aditya Birla Sun Life Flexi Cap Fund,Flexi Cap Fund
Capital Goods,,4.81%,Aditya Birla Sun Life Flexi Cap Fund,Flexi Cap Fund
Financial Services,,28.75%,Axis Flexi Cap Fund,Flexi Cap Fund
Consumer Services,,11.18%,Axis Flexi Cap Fund,Flexi Cap Fund
Automobile and Auto Components,,10.50%,Axis Flexi Cap Fund,Flexi Cap Fund
Information Technology,,9.12%,Axis Flexi Cap Fund,Flexi Cap Fund
Healthcare,,8.40%,Axis Flexi Cap Fund,Flexi Cap Fund
Financial Services,,29.97%,Bajaj Finserv Flexi Cap Fund,Flexi Cap Fund
Capital Goods,,15.02%,Bajaj Finserv Flexi Cap Fund,Flexi Cap Fund
Automobile and Auto Components,,11.46%,Bajaj Finserv Flexi Cap Fund,Flexi Cap Fund
Consumer Services,,11.05%,Bajaj Finserv Flexi Cap Fund,Flexi Cap Fund
Fast Moving Consumer Goods,,7.05%,Bajaj Finserv Flexi Cap Fund,Flexi Cap Fund
Financial Services,,24.11%,Bandhan Flexi Cap Fund,Flexi Cap Fund
Capital Goods,,13.19%,Bandhan Flexi Cap Fund,Flexi Cap Fund
Automobile and Auto Components,,10.95%,Bandhan Flexi Cap Fund,Flexi Cap Fund
Information Technology,,9.00%,Bandhan Flexi Cap Fund,Flexi Cap Fund
Fast Moving Consumer Goods,,6.27%,Bandhan Flexi Cap Fund,Flexi Cap Fund
Financial Services,,31.94%,Bank of India Flexi Cap Fund,Flexi Cap Fund
Capital Goods,,10.61%,Bank of India Flexi Cap Fund,Flexi Cap Fund
Current Assets,,7.16%,Bank of India Flexi Cap Fund,Flexi Cap Fund
Information Technology,,6.22%,Bank of India Flexi Cap Fund,Flexi Cap Fund
Healthcare,,5.82%,Bank of India Flexi Cap Fund,Flexi Cap Fund
Financial Services,,32.01%,Baroda BNP Paribas Flexi Cap Fund,Flexi Cap Fund
Information Technology,,9.84%,Baroda BNP Paribas Flexi Cap Fund,Flexi Cap Fund
Capital Goods,,7.63%,Baroda BNP Paribas Flexi Cap Fund,Flexi Cap Fund
Automobile and Auto Components,,6.92%,Baroda BNP Paribas Flexi Cap Fund,Flexi Cap Fund
Construction,,5.04%,Baroda BNP Paribas Flexi Cap Fund,Flexi Cap Fund
Financial Services,,30.11%,Canara Robeco Flexi Cap Fund,Flexi Cap Fund
Automobile and Auto Components,,10.30%,Canara Robeco Flexi Cap Fund,Flexi Cap Fund
Information Technology,,8.84%,Canara Robeco Flexi Cap Fund,Flexi Cap Fund
Healthcare,,7.20%,Canara Robeco Flexi Cap Fund,Flexi Cap Fund
Capital Goods,,7.18%,Canara Robeco Flexi Cap Fund,Flexi Cap Fund
Financial Services,,34.50%,DSP Flexi Cap Fund,Flexi Cap Fund
Capital Goods,,16.05%,DSP Flexi Cap Fund,Flexi Cap Fund
Information Technology,,8.58%,DSP Flexi Cap Fund,Flexi Cap Fund
Automobile and Auto Components,,7.41%,DSP Flexi Cap Fund,Flexi Cap Fund
Current Assets,,6.05%,DSP Flexi Cap Fund,Flexi Cap Fund
Financial Services,,29.91%,Edelweiss Flexi Cap Fund,Flexi Cap Fund
Information Technology,,11.98%,Edelweiss Flexi Cap Fund,Flexi Cap Fund
Capital Goods,,9.57%,Edelweiss Flexi Cap Fund,Flexi Cap Fund
Automobile and Auto Components,,8.75%,Edelweiss Flexi Cap Fund,Flexi Cap Fund
Construction,,6.24%,Edelweiss Flexi Cap Fund,Flexi Cap Fund
Financial Services,,27.51%,Franklin India Flexi Cap Fund,Flexi Cap Fund
Information Technology,,9.17%,Franklin India Flexi Cap Fund,Flexi Cap Fund
Fast Moving Consumer Goods,,8.05%,Franklin India Flexi Cap Fund,Flexi Cap Fund
Current Assets,,7.70%,Franklin India Flexi Cap Fund,Flexi Cap Fund
"Oil, Gas & Consumable Fuels",,7.19%,Franklin India Flexi Cap Fund,Flexi Cap Fund
Financial Services,,35.70%,HDFC Flexi Cap Fund,Flexi Cap Fund
Healthcare,,12.22%,HDFC Flexi Cap Fund,Flexi Cap Fund
Information Technology,,9.77%,HDFC Flexi Cap Fund,Flexi Cap Fund
Current Assets,,7.47%,HDFC Flexi Cap Fund,Flexi Cap Fund
Power,,7.29%,HDFC Flexi Cap Fund,Flexi Cap Fund
Financial Services,,39.89%,Helios Flexi Cap Fund,Flexi Cap Fund
Consumer Services,,11.15%,Helios Flexi Cap Fund,Flexi Cap Fund
Healthcare,,7.84%,Helios Flexi Cap Fund,Flexi Cap Fund
Fast Moving Consumer Goods,,6.47%,Helios Flexi Cap Fund,Flexi Cap Fund
Services,,5.30%,Helios Flexi Cap Fund,Flexi Cap Fund
Financial Services,,19.51%,HSBC Flexi Cap Fund,Flexi Cap Fund
Information Technology,,10.68%,HSBC Flexi Cap Fund,Flexi Cap Fund
Fast Moving Consumer Goods,,10.11%,HSBC Flexi Cap Fund,Flexi Cap Fund
Capital Goods,,10.08%,HSBC Flexi Cap Fund,Flexi Cap Fund
Automobile and Auto Components,,9.64%,HSBC Flexi Cap Fund,Flexi Cap Fund
Financial Services,,22.70%,ICICI Prudential Flexicap Fund,Flexi Cap Fund
Automobile and Auto Components,,22.00%,ICICI Prudential Flexicap Fund,Flexi Cap Fund
Consumer Services,,11.24%,ICICI Prudential Flexicap Fund,Flexi Cap Fund
Information Technology,,6.16%,ICICI Prudential Flexicap Fund,Flexi Cap Fund
Capital Goods,,4.84%,ICICI Prudential Flexicap Fund,Flexi Cap Fund
Financial Services,,32.74%,Invesco India Flexi Cap Fund,Flexi Cap Fund
Information Technology,,11.18%,Invesco India Flexi Cap Fund,Flexi Cap Fund
Capital Goods,,9.04%,Invesco India Flexi Cap Fund,Flexi Cap Fund
Healthcare,,8.80%,Invesco India Flexi Cap Fund,Flexi Cap Fund
Automobile and Auto Components,,7.16%,Invesco India Flexi Cap Fund,Flexi Cap Fund
Financial Services,,25.05%,ITI Flexi Cap Fund,Flexi Cap Fund
Capital Goods,,17.13%,ITI Flexi Cap Fund,Flexi Cap Fund
Automobile and Auto Components,,7.23%,ITI Flexi Cap Fund,Flexi Cap Fund
Current Assets,,5.83%,ITI Flexi Cap Fund,Flexi Cap Fund
"Oil, Gas & Consumable Fuels",,5.60%,ITI Flexi Cap Fund,Flexi Cap Fund
Financial Services,,26.05%,JM Flexicap Fund,Flexi Cap Fund
Capital Goods,,8.50%,JM Flexicap Fund,Flexi Cap Fund
Automobile and Auto Components,,7.28%,JM Flexicap Fund,Flexi Cap Fund
Power,,7.11%,JM Flexicap Fund,Flexi Cap Fund
Healthcare,,5.58%,JM Flexicap Fund,Flexi Cap Fund
Financial Services,,26.03%,Kotak Flexicap Fund,Flexi Cap Fund
