Sector Name,Dummy,Percentage Allocation,Fund Type,Scheme Name
Automobile and Auto Components,,6.43%,ICICI Prudential Nifty 100 ETF,ETFs - Others
Fast Moving Consumer Goods,,24.72%,ICICI Prudential Nifty 100 Low Volatility 30 ETF,ETFs - Others
Financial Services,,14.51%,ICICI Prudential Nifty 100 Low Volatility 30 ETF,ETFs - Others
Healthcare,,13.14%,ICICI Prudential Nifty 100 Low Volatility 30 ETF,ETFs - Others
Information Technology,,9.98%,ICICI Prudential Nifty 100 Low Volatility 30 ETF,ETFs - Others
Automobile and Auto Components,,8.82%,ICICI Prudential Nifty 100 Low Volatility 30 ETF,ETFs - Others
Automobile and Auto Components,,19.43%,ICICI Prudential Nifty 200 Momentum 30 ETF,ETFs - Others
Healthcare,,18.36%,ICICI Prudential Nifty 200 Momentum 30 ETF,ETFs - Others
Capital Goods,,17.98%,ICICI Prudential Nifty 200 Momentum 30 ETF,ETFs - Others
Financial Services,,12.63%,ICICI Prudential Nifty 200 Momentum 30 ETF,ETFs - Others
Consumer Services,,5.02%,ICICI Prudential Nifty 200 Momentum 30 ETF,ETFs - Others
Fast Moving Consumer Goods,,29.18%,ICICI Prudential Nifty 200 Quality 30 ETF,ETFs - Others
Information Technology,,26.07%,ICICI Prudential Nifty 200 Quality 30 ETF,ETFs - Others
Consumer Durables,,8.95%,ICICI Prudential Nifty 200 Quality 30 ETF,ETFs - Others
Automobile and Auto Components,,6.82%,ICICI Prudential Nifty 200 Quality 30 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,6.64%,ICICI Prudential Nifty 200 Quality 30 ETF,ETFs - Others
Financial Services,,35.26%,ICICI Prudential Nifty 50 ETF,ETFs - Others
Information Technology,,13.62%,ICICI Prudential Nifty 50 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.40%,ICICI Prudential Nifty 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,9.16%,ICICI Prudential Nifty 50 ETF,ETFs - Others
Automobile and Auto Components,,6.48%,ICICI Prudential Nifty 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,21.80%,ICICI Prudential Nifty Alpha Low - Volatility 30 ETF,ETFs - Others
Healthcare,,17.72%,ICICI Prudential Nifty Alpha Low - Volatility 30 ETF,ETFs - Others
Automobile and Auto Components,,17.48%,ICICI Prudential Nifty Alpha Low - Volatility 30 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,9.32%,ICICI Prudential Nifty Alpha Low - Volatility 30 ETF,ETFs - Others
Construction Materials,,7.05%,ICICI Prudential Nifty Alpha Low - Volatility 30 ETF,ETFs - Others
Automobile and Auto Components,,93.38%,ICICI Prudential Nifty Auto ETF,ETFs - Others
Capital Goods,,6.62%,ICICI Prudential Nifty Auto ETF,ETFs - Others
Current Assets,,0.01%,ICICI Prudential Nifty Auto ETF,ETFs - Others
Financial Services,,100.00%,ICICI Prudential Nifty Bank ETF,ETFs - Others
Current Assets,,-,ICICI Prudential Nifty Bank ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,26.96%,ICICI Prudential Nifty Commodities ETF,ETFs - Others
Metals & Mining,,22.30%,ICICI Prudential Nifty Commodities ETF,ETFs - Others
Power,,19.01%,ICICI Prudential Nifty Commodities ETF,ETFs - Others
Construction Materials,,18.97%,ICICI Prudential Nifty Commodities ETF,ETFs - Others
Chemicals,,11.10%,ICICI Prudential Nifty Commodities ETF,ETFs - Others
Financial Services,,99.99%,ICICI Prudential Nifty Financial Services Ex-Bank ETF,ETFs - Others
Current Assets,,0.01%,ICICI Prudential Nifty Financial Services Ex-Bank ETF,ETFs - Others
Fast Moving Consumer Goods,,99.99%,ICICI Prudential Nifty FMCG ETF,ETFs - Others
Current Assets,,0.01%,ICICI Prudential Nifty FMCG ETF,ETFs - Others
Healthcare,,99.99%,ICICI Prudential Nifty Healthcare ETF,ETFs - Others
Current Assets,,0.01%,ICICI Prudential Nifty Healthcare ETF,ETFs - Others
Fast Moving Consumer Goods,,37.76%,ICICI Prudential Nifty India Consumption ETF,ETFs - Others
Automobile and Auto Components,,19.29%,ICICI Prudential Nifty India Consumption ETF,ETFs - Others
Consumer Durables,,13.76%,ICICI Prudential Nifty India Consumption ETF,ETFs - Others
Telecommunication,,10.10%,ICICI Prudential Nifty India Consumption ETF,ETFs - Others
Consumer Services,,8.35%,ICICI Prudential Nifty India Consumption ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,30.00%,ICICI Prudential Nifty Infrastructure ETF,ETFs - Others
Construction,,16.64%,ICICI Prudential Nifty Infrastructure ETF,ETFs - Others
Power,,12.46%,ICICI Prudential Nifty Infrastructure ETF,ETFs - Others
Construction Materials,,11.75%,ICICI Prudential Nifty Infrastructure ETF,ETFs - Others
Telecommunication,,10.42%,ICICI Prudential Nifty Infrastructure ETF,ETFs - Others
Information Technology,,99.99%,ICICI Prudential Nifty IT ETF,ETFs - Others
Current Assets,,0.01%,ICICI Prudential Nifty IT ETF,ETFs - Others
Financial Services,,22.15%,ICICI Prudential Nifty Midcap 150 ETF,ETFs - Others
Capital Goods,,13.32%,ICICI Prudential Nifty Midcap 150 ETF,ETFs - Others
Healthcare,,10.87%,ICICI Prudential Nifty Midcap 150 ETF,ETFs - Others
Automobile and Auto Components,,7.25%,ICICI Prudential Nifty Midcap 150 ETF,ETFs - Others
Information Technology,,6.86%,ICICI Prudential Nifty Midcap 150 ETF,ETFs - Others
Financial Services,,20.33%,ICICI Prudential Nifty Next 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,12.68%,ICICI Prudential Nifty Next 50 ETF,ETFs - Others
Consumer Services,,11.63%,ICICI Prudential Nifty Next 50 ETF,ETFs - Others
Capital Goods,,11.14%,ICICI Prudential Nifty Next 50 ETF,ETFs - Others
Chemicals,,6.57%,ICICI Prudential Nifty Next 50 ETF,ETFs - Others
Financial Services,,99.99%,ICICI Prudential Nifty Private Bank ETF,ETFs - Others
Current Assets,,0.01%,ICICI Prudential Nifty Private Bank ETF,ETFs - Others
Financial Services,,99.99%,ICICI Prudential Nifty PSU Bank ETF,ETFs - Others
Current Assets,,0.01%,ICICI Prudential Nifty PSU Bank ETF,ETFs - Others
Information Technology,,35.44%,ICICI Prudential Nifty50 Value 20 ETF,ETFs - Others
Financial Services,,22.29%,ICICI Prudential Nifty50 Value 20 ETF,ETFs - Others
Fast Moving Consumer Goods,,14.19%,ICICI Prudential Nifty50 Value 20 ETF,ETFs - Others
Power,,7.69%,ICICI Prudential Nifty50 Value 20 ETF,ETFs - Others
Metals & Mining,,6.10%,ICICI Prudential Nifty50 Value 20 ETF,ETFs - Others
Financial Services,,29.69%,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Information Technology,,10.19%,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,8.67%,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Fast Moving Consumer Goods,,8.01%,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Automobile and Auto Components,,6.47%,ICICI Prudential S&P BSE 500 ETF,ETFs - Others
Financial Services,,26.62%,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
Capital Goods,,16.24%,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
Automobile and Auto Components,,11.41%,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
Consumer Services,,10.49%,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
Information Technology,,8.90%,ICICI Prudential S&P BSE Midcap Select ETF,ETFs - Others
Financial Services,,39.13%,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
Information Technology,,15.04%,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.81%,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
Fast Moving Consumer Goods,,8.99%,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
Automobile and Auto Components,,5.36%,ICICI Prudential S&P BSE Sensex ETF,ETFs - Others
Financial Services,,35.26%,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Information Technology,,13.62%,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.40%,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Fast Moving Consumer Goods,,9.16%,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Automobile and Auto Components,,6.48%,Invesco India Nifty 50 Exchange Traded Fund,ETFs - Others
Fast Moving Consumer Goods,,24.71%,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
Financial Services,,14.50%,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
Healthcare,,13.14%,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
Information Technology,,9.98%,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
Automobile and Auto Components,,8.82%,Kotak Nifty 100 Low Volatility 30 ETF,ETFs - Others
Financial Services,,35.26%,Kotak Nifty 50 ETF,ETFs - Others
Information Technology,,13.62%,Kotak Nifty 50 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.40%,Kotak Nifty 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,9.16%,Kotak Nifty 50 ETF,ETFs - Others
Automobile and Auto Components,,6.48%,Kotak Nifty 50 ETF,ETFs - Others
Financial Services,,36.78%,Kotak Nifty Alpha 50 ETF,ETFs - Others
Capital Goods,,29.69%,Kotak Nifty Alpha 50 ETF,ETFs - Others
Information Technology,,7.86%,Kotak Nifty Alpha 50 ETF,ETFs - Others
Healthcare,,6.43%,Kotak Nifty Alpha 50 ETF,ETFs - Others
Construction,,5.19%,Kotak Nifty Alpha 50 ETF,ETFs - Others
Financial Services,,99.99%,Kotak Nifty Bank ETF,ETFs - Others
Current Assets,,0.01%,Kotak Nifty Bank ETF,ETFs - Others
Fast Moving Consumer Goods,,37.87%,Kotak NIFTY India Consumption ETF,ETFs - Others
Automobile and Auto Components,,19.29%,Kotak NIFTY India Consumption ETF,ETFs - Others
Consumer Durables,,13.75%,Kotak NIFTY India Consumption ETF,ETFs - Others
Telecommunication,,10.09%,Kotak NIFTY India Consumption ETF,ETFs - Others
Consumer Services,,8.32%,Kotak NIFTY India Consumption ETF,ETFs - Others
Information Technology,,99.96%,Kotak Nifty IT ETF,ETFs - Others
Current Assets,,0.04%,Kotak Nifty IT ETF,ETFs - Others
Financial Services,,28.49%,Kotak Nifty Midcap 50 ETF,ETFs - Others
Capital Goods,,12.24%,Kotak Nifty Midcap 50 ETF,ETFs - Others
Information Technology,,10.61%,Kotak Nifty Midcap 50 ETF,ETFs - Others
Healthcare,,9.61%,Kotak Nifty Midcap 50 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,5.56%,Kotak Nifty Midcap 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,41.10%,Kotak Nifty MNC ETF,ETFs - Others
Capital Goods,,20.08%,Kotak Nifty MNC ETF,ETFs - Others
Automobile and Auto Components,,14.00%,Kotak Nifty MNC ETF,ETFs - Others
Construction Materials,,5.02%,Kotak Nifty MNC ETF,ETFs - Others
Metals & Mining,,4.54%,Kotak Nifty MNC ETF,ETFs - Others
Financial Services,,99.99%,Kotak Nifty PSU Bank ETF,ETFs - Others
Current Assets,,0.01%,Kotak Nifty PSU Bank ETF,ETFs - Others
Financial Services,,39.12%,Kotak S&P BSE Sensex ETF,ETFs - Others
Information Technology,,15.04%,Kotak S&P BSE Sensex ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.81%,Kotak S&P BSE Sensex ETF,ETFs - Others
Fast Moving Consumer Goods,,8.99%,Kotak S&P BSE Sensex ETF,ETFs - Others
Automobile and Auto Components,,5.36%,Kotak S&P BSE Sensex ETF,ETFs - Others
Financial Services,,32.68%,LIC MF Nifty 100 ETF,ETFs - Others
Information Technology,,11.42%,LIC MF Nifty 100 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.59%,LIC MF Nifty 100 ETF,ETFs - Others
Fast Moving Consumer Goods,,9.88%,LIC MF Nifty 100 ETF,ETFs - Others
Automobile and Auto Components,,6.43%,LIC MF Nifty 100 ETF,ETFs - Others
Financial Services,,35.17%,LIC MF Nifty 50 ETF,ETFs - Others
Information Technology,,13.62%,LIC MF Nifty 50 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.42%,LIC MF Nifty 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,9.17%,LIC MF Nifty 50 ETF,ETFs - Others
Automobile and Auto Components,,6.46%,LIC MF Nifty 50 ETF,ETFs - Others
Financial Services,,39.06%,LIC MF S & P BSE Sensex ETF,ETFs - Others
Information Technology,,15.05%,LIC MF S & P BSE Sensex ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.83%,LIC MF S & P BSE Sensex ETF,ETFs - Others
Fast Moving Consumer Goods,,9.01%,LIC MF S & P BSE Sensex ETF,ETFs - Others
Automobile and Auto Components,,5.36%,LIC MF S & P BSE Sensex ETF,ETFs - Others
Information Technology,,32.97%,Mirae Asset Hang Seng TECH ETF,ETFs - Others
Consumer Services,,19.52%,Mirae Asset Hang Seng TECH ETF,ETFs - Others
Consumer Durables,,13.98%,Mirae Asset Hang Seng TECH ETF,ETFs - Others
Automobile and Auto Components,,11.65%,Mirae Asset Hang Seng TECH ETF,ETFs - Others
Services,,8.74%,Mirae Asset Hang Seng TECH ETF,ETFs - Others
Financial Services,,30.77%,Mirae Asset Nifty 100 ESG Sector Leaders ETF,ETFs - Others
Information Technology,,14.14%,Mirae Asset Nifty 100 ESG Sector Leaders ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.87%,Mirae Asset Nifty 100 ESG Sector Leaders ETF,ETFs - Others
Automobile and Auto Components,,6.60%,Mirae Asset Nifty 100 ESG Sector Leaders ETF,ETFs - Others
Fast Moving Consumer Goods,,5.86%,Mirae Asset Nifty 100 ESG Sector Leaders ETF,ETFs - Others
Fast Moving Consumer Goods,,24.70%,Mirae Asset Nifty 100 Low Volatility 30 ETF,ETFs - Others
Financial Services,,14.51%,Mirae Asset Nifty 100 Low Volatility 30 ETF,ETFs - Others
Healthcare,,13.14%,Mirae Asset Nifty 100 Low Volatility 30 ETF,ETFs - Others
Information Technology,,9.98%,Mirae Asset Nifty 100 Low Volatility 30 ETF,ETFs - Others
Automobile and Auto Components,,8.82%,Mirae Asset Nifty 100 Low Volatility 30 ETF,ETFs - Others
Capital Goods,,22.03%,Mirae Asset Nifty 200 Alpha 30 ETF,ETFs - Others
Financial Services,,21.56%,Mirae Asset Nifty 200 Alpha 30 ETF,ETFs - Others
Healthcare,,14.85%,Mirae Asset Nifty 200 Alpha 30 ETF,ETFs - Others
Automobile and Auto Components,,13.40%,Mirae Asset Nifty 200 Alpha 30 ETF,ETFs - Others
Realty,,5.77%,Mirae Asset Nifty 200 Alpha 30 ETF,ETFs - Others
Financial Services,,35.27%,Mirae Asset Nifty 50 ETF,ETFs - Others
Information Technology,,13.62%,Mirae Asset Nifty 50 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.40%,Mirae Asset Nifty 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,9.16%,Mirae Asset Nifty 50 ETF,ETFs - Others
Automobile and Auto Components,,6.48%,Mirae Asset Nifty 50 ETF,ETFs - Others
Financial Services,,100.01%,Mirae Asset Nifty Bank ETF,ETFs - Others
Current Assets,,-0.01%,Mirae Asset Nifty Bank ETF,ETFs - Others
Financial Services,,100.01%,Mirae Asset Nifty Financial Services ETF,ETFs - Others
Current Assets,,-0.01%,Mirae Asset Nifty Financial Services ETF,ETFs - Others
Automobile and Auto Components,,29.81%,Mirae Asset Nifty India Manufacturing ETF,ETFs - Others
Capital Goods,,19.63%,Mirae Asset Nifty India Manufacturing ETF,ETFs - Others
Healthcare,,14.88%,Mirae Asset Nifty India Manufacturing ETF,ETFs - Others
Metals & Mining,,12.89%,Mirae Asset Nifty India Manufacturing ETF,ETFs - Others
Chemicals,,8.67%,Mirae Asset Nifty India Manufacturing ETF,ETFs - Others
Information Technology,,99.99%,Mirae Asset Nifty IT ETF,ETFs - Others
Current Assets,,0.01%,Mirae Asset Nifty IT ETF,ETFs - Others
Financial Services,,22.15%,Mirae Asset Nifty Midcap 150 ETF,ETFs - Others
Capital Goods,,13.33%,Mirae Asset Nifty Midcap 150 ETF,ETFs - Others
Healthcare,,10.88%,Mirae Asset Nifty Midcap 150 ETF,ETFs - Others
Automobile and Auto Components,,7.25%,Mirae Asset Nifty Midcap 150 ETF,ETFs - Others
Information Technology,,6.87%,Mirae Asset Nifty Midcap 150 ETF,ETFs - Others
Financial Services,,20.33%,Mirae Asset Nifty Next 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,12.68%,Mirae Asset Nifty Next 50 ETF,ETFs - Others
Consumer Services,,11.63%,Mirae Asset Nifty Next 50 ETF,ETFs - Others
Capital Goods,,11.14%,Mirae Asset Nifty Next 50 ETF,ETFs - Others
Chemicals,,6.58%,Mirae Asset Nifty Next 50 ETF,ETFs - Others
Information Technology,,40.13%,Mirae Asset NYSE FANG Plus ETF,ETFs - Others
Services,,10.30%,Mirae Asset NYSE FANG Plus ETF,ETFs - Others
Automobile and Auto Components,,10.15%,Mirae Asset NYSE FANG Plus ETF,ETFs - Others
Telecommunication,,10.01%,Mirae Asset NYSE FANG Plus ETF,ETFs - Others
Consumer Services,,9.98%,Mirae Asset NYSE FANG Plus ETF,ETFs - Others
Information Technology,,28.71%,Mirae Asset S&P 500 TOP 50 ETF,ETFs - Others
Consumer Durables,,12.49%,Mirae Asset S&P 500 TOP 50 ETF,ETFs - Others
Financial Services,,12.45%,Mirae Asset S&P 500 TOP 50 ETF,ETFs - Others
Consumer Services,,9.38%,Mirae Asset S&P 500 TOP 50 ETF,ETFs - Others
Healthcare,,9.12%,Mirae Asset S&P 500 TOP 50 ETF,ETFs - Others
Financial Services,,39.13%,Mirae Asset S&P BSE Sensex ETF,ETFs - Others
Information Technology,,15.04%,Mirae Asset S&P BSE Sensex ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.81%,Mirae Asset S&P BSE Sensex ETF,ETFs - Others
Fast Moving Consumer Goods,,8.98%,Mirae Asset S&P BSE Sensex ETF,ETFs - Others
Automobile and Auto Components,,5.36%,Mirae Asset S&P BSE Sensex ETF,ETFs - Others
Information Technology,,37.92%,Motilal Oswal Nasdaq 100 ETF,ETFs - Others
Services,,11.24%,Motilal Oswal Nasdaq 100 ETF,ETFs - Others
Consumer Durables,,9.21%,Motilal Oswal Nasdaq 100 ETF,ETFs - Others
Consumer Services,,9.06%,Motilal Oswal Nasdaq 100 ETF,ETFs - Others
Healthcare,,6.85%,Motilal Oswal Nasdaq 100 ETF,ETFs - Others
Information Technology,,31.91%,Motilal Oswal NASDAQ Q 50 ETF,ETFs - Others
Healthcare,,20.28%,Motilal Oswal NASDAQ Q 50 ETF,ETFs - Others
Capital Goods,,15.85%,Motilal Oswal NASDAQ Q 50 ETF,ETFs - Others
Consumer Services,,6.92%,Motilal Oswal NASDAQ Q 50 ETF,ETFs - Others
"Media, Entertainment & Publication",,4.78%,Motilal Oswal NASDAQ Q 50 ETF,ETFs - Others
Automobile and Auto Components,,19.43%,Motilal Oswal Nifty 200 Momentum 30 ETF,ETFs - Others
Healthcare,,18.37%,Motilal Oswal Nifty 200 Momentum 30 ETF,ETFs - Others
Capital Goods,,17.99%,Motilal Oswal Nifty 200 Momentum 30 ETF,ETFs - Others
Financial Services,,12.63%,Motilal Oswal Nifty 200 Momentum 30 ETF,ETFs - Others
Consumer Services,,5.03%,Motilal Oswal Nifty 200 Momentum 30 ETF,ETFs - Others
Financial Services,,35.26%,Motilal Oswal Nifty 50 ETF,ETFs - Others
Information Technology,,13.62%,Motilal Oswal Nifty 50 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.40%,Motilal Oswal Nifty 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,9.16%,Motilal Oswal Nifty 50 ETF,ETFs - Others
Automobile and Auto Components,,6.48%,Motilal Oswal Nifty 50 ETF,ETFs - Others
Financial Services,,24.51%,Motilal Oswal Nifty Midcap 100 ETF,ETFs - Others
Healthcare,,11.86%,Motilal Oswal Nifty Midcap 100 ETF,ETFs - Others
Capital Goods,,11.44%,Motilal Oswal Nifty Midcap 100 ETF,ETFs - Others
Information Technology,,8.08%,Motilal Oswal Nifty Midcap 100 ETF,ETFs - Others
Automobile and Auto Components,,6.50%,Motilal Oswal Nifty Midcap 100 ETF,ETFs - Others
Financial Services,,33.96%,Motilal Oswal S&P BSE Enhanced Value ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,33.73%,Motilal Oswal S&P BSE Enhanced Value ETF,ETFs - Others
Metals & Mining,,22.95%,Motilal Oswal S&P BSE Enhanced Value ETF,ETFs - Others
Power,,8.41%,Motilal Oswal S&P BSE Enhanced Value ETF,ETFs - Others
Consumer Durables,,0.81%,Motilal Oswal S&P BSE Enhanced Value ETF,ETFs - Others
Healthcare,,99.94%,Motilal Oswal S&P BSE Healthcare ETF,ETFs - Others
Current Assets,,0.06%,Motilal Oswal S&P BSE Healthcare ETF,ETFs - Others
Healthcare,,21.28%,Motilal Oswal S&P BSE Low Volatility ETF,ETFs - Others
Fast Moving Consumer Goods,,20.18%,Motilal Oswal S&P BSE Low Volatility ETF,ETFs - Others
Automobile and Auto Components,,10.28%,Motilal Oswal S&P BSE Low Volatility ETF,ETFs - Others
Financial Services,,9.52%,Motilal Oswal S&P BSE Low Volatility ETF,ETFs - Others
Information Technology,,8.98%,Motilal Oswal S&P BSE Low Volatility ETF,ETFs - Others
Fast Moving Consumer Goods,,19.57%,Motilal Oswal S&P BSE Quality ETF,ETFs - Others
Capital Goods,,14.97%,Motilal Oswal S&P BSE Quality ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,13.58%,Motilal Oswal S&P BSE Quality ETF,ETFs - Others
Information Technology,,12.51%,Motilal Oswal S&P BSE Quality ETF,ETFs - Others
Financial Services,,8.33%,Motilal Oswal S&P BSE Quality ETF,ETFs - Others
Financial Services,,34.86%,NAVI NIFTY 50 ETF,ETFs - Others
Information Technology,,13.62%,NAVI NIFTY 50 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.34%,NAVI NIFTY 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,9.05%,NAVI NIFTY 50 ETF,ETFs - Others
Automobile and Auto Components,,6.41%,NAVI NIFTY 50 ETF,ETFs - Others
Financial Services,,46.65%,Nippon India ETF Hang Seng BeES,ETFs - Others
Consumer Services,,11.77%,Nippon India ETF Hang Seng BeES,ETFs - Others
Services,,5.33%,Nippon India ETF Hang Seng BeES,ETFs - Others
"Oil, Gas & Consumable Fuels",,4.83%,Nippon India ETF Hang Seng BeES,ETFs - Others
Automobile and Auto Components,,4.54%,Nippon India ETF Hang Seng BeES,ETFs - Others
Financial Services,,32.63%,Nippon India ETF Nifty 100,ETFs - Others
Information Technology,,11.38%,Nippon India ETF Nifty 100,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.57%,Nippon India ETF Nifty 100,ETFs - Others
Fast Moving Consumer Goods,,9.87%,Nippon India ETF Nifty 100,ETFs - Others
Automobile and Auto Components,,6.42%,Nippon India ETF Nifty 100,ETFs - Others
Financial Services,,35.26%,Nippon India ETF Nifty 50 BeES,ETFs - Others
Information Technology,,13.62%,Nippon India ETF Nifty 50 BeES,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.40%,Nippon India ETF Nifty 50 BeES,ETFs - Others
Fast Moving Consumer Goods,,9.16%,Nippon India ETF Nifty 50 BeES,ETFs - Others
Automobile and Auto Components,,6.48%,Nippon India ETF Nifty 50 BeES,ETFs - Others
Information Technology,,47.35%,Nippon India ETF Nifty 50 Shariah BeES,ETFs - Others
Fast Moving Consumer Goods,,14.58%,Nippon India ETF Nifty 50 Shariah BeES,ETFs - Others
Healthcare,,8.90%,Nippon India ETF Nifty 50 Shariah BeES,ETFs - Others
Construction Materials,,7.32%,Nippon India ETF Nifty 50 Shariah BeES,ETFs - Others
Metals & Mining,,6.88%,Nippon India ETF Nifty 50 Shariah BeES,ETFs - Others
Information Technology,,35.41%,Nippon India ETF Nifty 50 Value 20,ETFs - Others
Financial Services,,22.27%,Nippon India ETF Nifty 50 Value 20,ETFs - Others
Fast Moving Consumer Goods,,14.18%,Nippon India ETF Nifty 50 Value 20,ETFs - Others
Power,,7.68%,Nippon India ETF Nifty 50 Value 20,ETFs - Others
Metals & Mining,,6.10%,Nippon India ETF Nifty 50 Value 20,ETFs - Others
Financial Services,,99.95%,Nippon India ETF Nifty Bank BeES,ETFs - Others
Current Assets,,0.05%,Nippon India ETF Nifty Bank BeES,ETFs - Others
Information Technology,,27.99%,Nippon India ETF Nifty Dividend Opportunities 50,ETFs - Others
Fast Moving Consumer Goods,,20.79%,Nippon India ETF Nifty Dividend Opportunities 50,ETFs - Others
Financial Services,,11.50%,Nippon India ETF Nifty Dividend Opportunities 50,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.30%,Nippon India ETF Nifty Dividend Opportunities 50,ETFs - Others
Power,,8.86%,Nippon India ETF Nifty Dividend Opportunities 50,ETFs - Others
Fast Moving Consumer Goods,,37.74%,Nippon India ETF Nifty India Consumption,ETFs - Others
Automobile and Auto Components,,19.27%,Nippon India ETF Nifty India Consumption,ETFs - Others
Consumer Durables,,13.74%,Nippon India ETF Nifty India Consumption,ETFs - Others
Telecommunication,,10.09%,Nippon India ETF Nifty India Consumption,ETFs - Others
Consumer Services,,8.34%,Nippon India ETF Nifty India Consumption,ETFs - Others
"Oil, Gas & Consumable Fuels",,29.93%,Nippon India ETF Nifty Infrastructure BeES,ETFs - Others
Construction,,16.60%,Nippon India ETF Nifty Infrastructure BeES,ETFs - Others
Power,,12.43%,Nippon India ETF Nifty Infrastructure BeES,ETFs - Others
Construction Materials,,11.71%,Nippon India ETF Nifty Infrastructure BeES,ETFs - Others
Telecommunication,,10.40%,Nippon India ETF Nifty Infrastructure BeES,ETFs - Others
Information Technology,,99.95%,Nippon India ETF Nifty IT,ETFs - Others
Current Assets,,0.05%,Nippon India ETF Nifty IT,ETFs - Others
Miscellaneous,,-,Nippon India ETF Nifty IT,ETFs - Others
Financial Services,,22.14%,Nippon India ETF Nifty Midcap 150,ETFs - Others
Capital Goods,,13.32%,Nippon India ETF Nifty Midcap 150,ETFs - Others
Healthcare,,10.87%,Nippon India ETF Nifty Midcap 150,ETFs - Others
Automobile and Auto Components,,7.25%,Nippon India ETF Nifty Midcap 150,ETFs - Others
Information Technology,,6.86%,Nippon India ETF Nifty Midcap 150,ETFs - Others
Financial Services,,20.32%,Nippon India ETF Nifty Next 50 Junior BeES,ETFs - Others
Fast Moving Consumer Goods,,12.68%,Nippon India ETF Nifty Next 50 Junior BeES,ETFs - Others
Consumer Services,,11.63%,Nippon India ETF Nifty Next 50 Junior BeES,ETFs - Others
Capital Goods,,11.14%,Nippon India ETF Nifty Next 50 Junior BeES,ETFs - Others
Chemicals,,6.57%,Nippon India ETF Nifty Next 50 Junior BeES,ETFs - Others
Financial Services,,99.95%,Nippon India ETF Nifty PSU Bank BeES,ETFs - Others
Current Assets,,0.05%,Nippon India ETF Nifty PSU Bank BeES,ETFs - Others
Miscellaneous,,0.01%,Nippon India ETF Nifty PSU Bank BeES,ETFs - Others
Sovereign,,97.16%,Nippon India ETF Nifty SDL Apr 2026 Top 20 Equal Weight,ETFs - Others
Current Assets,,2.83%,Nippon India ETF Nifty SDL Apr 2026 Top 20 Equal Weight,ETFs - Others
Miscellaneous,,-,Nippon India ETF Nifty SDL Apr 2026 Top 20 Equal Weight,ETFs - Others
